Area,Layer,Thickness,Cum. Thickness,Relative pial depth,Mid-layer pial depth,Mid-layer relative pial depth
MTG,L1,0.25,0.25,0.07,0.13,0.03
MTG,L2,0.15,0.4,0.11,0.33,0.09
MTG,L3,0.75,1.15,0.32,0.78,0.22
MTG,L4,0.24,1.39,0.39,1.27,0.35
MTG,L5,0.8,2.19,0.61,1.79,0.5
MTG,L6,1.4,3.59,1.00,2.89,0.81
M1,L1,0.18,0.18,0.05,0.09,0.02
M1,L2,0.15,0.33,0.09,0.26,0.07
M1,L3,1.28,1.61,0.43,0.97,0.26
M1,L5,0.85,2.46,0.66,2.04,0.55
M1,L6,1.25,3.71,1.00,3.09,0.83
,,,,,,
