"","sample_id","cluster","M1_layer","MTG_layer_transfer"
"M1_SM-GE678_S068_E1-50","SM-GE678_S068_E1-50","Exc L2-3 RORB CCDC68","L2","L4"
"M1_SM-GE678_S069_E1-50","SM-GE678_S069_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE678_S070_E1-50","SM-GE678_S070_E1-50","Exc L2-3 RORB CCDC68","L2","L4"
"M1_SM-GE678_S071_E1-50","SM-GE678_S071_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE678_S073_E1-50","SM-GE678_S073_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE678_S076_E1-50","SM-GE678_S076_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE678_S077_E1-50","SM-GE678_S077_E1-50","Exc L2-3 RORB PTPN3","L2","L3"
"M1_SM-GE678_S080_E1-50","SM-GE678_S080_E1-50","Exc L2 LAMP5 KCNG3","L2","L2"
"M1_SM-GE678_S084_E1-50","SM-GE678_S084_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE678_S085_E1-50","SM-GE678_S085_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE678_S086_E1-50","SM-GE678_S086_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE678_S089_E1-50","SM-GE678_S089_E1-50","Exc L5 THEMIS FGF10","L6","L6"
"M1_SM-GE678_S090_E1-50","SM-GE678_S090_E1-50","Exc L6 FEZF2 PROKR2","L6","L6"
"M1_SM-GE678_S091_E1-50","SM-GE678_S091_E1-50","Exc L6 THEMIS SNTG2","L6","L5"
"M1_SM-GE678_S092_E1-50","SM-GE678_S092_E1-50","Exc L6 THEMIS SNTG2","L6","L6"
"M1_SM-GE678_S094_E1-50","SM-GE678_S094_E1-50","Exc L5-6 THEMIS SMYD1","L6","L5"
"M1_SM-GE678_S136_E1-50","SM-GE678_S136_E1-50","Exc L2 LINC00507 GLRA3","L1","L2"
"M1_SM-GE678_S144_E1-50","SM-GE678_S144_E1-50","Exc L2 LINC00507 GLRA3","L1","L2"
"M1_SM-GE678_S145_E1-50","SM-GE678_S145_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE678_S146_E1-50","SM-GE678_S146_E1-50","Exc L2-3 RORB PTPN3","L2","L3"
"M1_SM-GE678_S147_E1-50","SM-GE678_S147_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE678_S148_E1-50","SM-GE678_S148_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE678_S149_E1-50","SM-GE678_S149_E1-50","Exc L2-3 RORB CCDC68","L2","L3"
"M1_SM-GE678_S150_E1-50","SM-GE678_S150_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE678_S151_E1-50","SM-GE678_S151_E1-50","Exc L2 LINC00507 GLRA3","L2","L4"
"M1_SM-GE678_S152_E1-50","SM-GE678_S152_E1-50","Exc L2-3 RORB RTKN2","L2","L3"
"M1_SM-GE678_S161_E1-50","SM-GE678_S161_E1-50","Exc L2-3 RORB RTKN2","L2","L3"
"M1_SM-GE678_S162_E1-50","SM-GE678_S162_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE678_S163_E1-50","SM-GE678_S163_E1-50","Exc L2-3 RORB RTKN2","L2","L3"
"M1_SM-GE678_S164_E1-50","SM-GE678_S164_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE678_S165_E1-50","SM-GE678_S165_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE678_S166_E1-50","SM-GE678_S166_E1-50","Exc L2-3 RORB CCDC68","L2","L3"
"M1_SM-GE678_S167_E1-50","SM-GE678_S167_E1-50","Exc L2-3 RORB CCDC68","L2","L3"
"M1_SM-GE678_S169_E1-50","SM-GE678_S169_E1-50","Exc L2-3 RORB RTKN2","L2","L3"
"M1_SM-GE678_S170_E1-50","SM-GE678_S170_E1-50","Exc L2-3 RORB CCDC68","L2","L3"
"M1_SM-GE678_S171_E1-50","SM-GE678_S171_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE678_S172_E1-50","SM-GE678_S172_E1-50","Exc L2-3 RORB CCDC68","L2","L4"
"M1_SM-GE678_S174_E1-50","SM-GE678_S174_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE678_S175_E1-50","SM-GE678_S175_E1-50","Exc L2-3 RORB CCDC68","L2","L4"
"M1_SM-GE678_S177_E1-50","SM-GE678_S177_E1-50","Exc L5-6 FEZF2 SH2D1B","L5","L5"
"M1_SM-GE678_S178_E1-50","SM-GE678_S178_E1-50","Exc L5 THEMIS LINC01116","L5","L6"
"M1_SM-GE678_S179_E1-50","SM-GE678_S179_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L5","L6"
"M1_SM-GE678_S181_E1-50","SM-GE678_S181_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L5","L6"
"M1_SM-GE678_S182_E1-50","SM-GE678_S182_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L5","L5"
"M1_SM-GE678_S185_E1-50","SM-GE678_S185_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L5"
"M1_SM-GE678_S188_E1-50","SM-GE678_S188_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE678_S191_E1-50","SM-GE678_S191_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE67A_S059_E1-50","SM-GE67A_S059_E1-50","Exc L3 LAMP5 CARM1P1","L1","L3"
"M1_SM-GE67A_S066_E1-50","SM-GE67A_S066_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE67A_S068_E1-50","SM-GE67A_S068_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE67A_S069_E1-50","SM-GE67A_S069_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE67A_S070_E1-50","SM-GE67A_S070_E1-50","Exc L2 LINC00507 ATP7B","L2","L3"
"M1_SM-GE67A_S071_E1-50","SM-GE67A_S071_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE67A_S073_E1-50","SM-GE67A_S073_E1-50","Exc L2 LINC00507 ATP7B","L2","L3"
"M1_SM-GE67A_S074_E1-50","SM-GE67A_S074_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE67A_S075_E1-50","SM-GE67A_S075_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE67A_S076_E1-50","SM-GE67A_S076_E1-50","Exc L2-3 RORB PTPN3","L2","L4"
"M1_SM-GE67A_S077_E1-50","SM-GE67A_S077_E1-50","Exc L2-3 RORB PTPN3","L2","L4"
"M1_SM-GE67A_S078_E1-50","SM-GE67A_S078_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE67A_S079_E1-50","SM-GE67A_S079_E1-50","Exc L2-3 RORB PTPN3","L2","L4"
"M1_SM-GE67A_S080_E1-50","SM-GE67A_S080_E1-50","Exc L2 LINC00507 GLRA3","L2","L2"
"M1_SM-GE67A_S081_E1-50","SM-GE67A_S081_E1-50","Exc L5-6 THEMIS TNFAIP6","L3","L4"
"M1_SM-GE67A_S082_E1-50","SM-GE67A_S082_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE67A_S083_E1-50","SM-GE67A_S083_E1-50","Exc L2-3 RORB CCDC68","L3","L4"
"M1_SM-GE67A_S084_E1-50","SM-GE67A_S084_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE67A_S085_E1-50","SM-GE67A_S085_E1-50","Exc L3-5 RORB LNX2","L3","L5"
"M1_SM-GE67A_S086_E1-50","SM-GE67A_S086_E1-50","Exc L3-5 RORB LNX2","L3","L5"
"M1_SM-GE67A_S087_E1-50","SM-GE67A_S087_E1-50","Exc L5-6 THEMIS TNFAIP6","L3","L5"
"M1_SM-GE67A_S089_E1-50","SM-GE67A_S089_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE67A_S090_E1-50","SM-GE67A_S090_E1-50","Exc L2-3 RORB PTPN3","L3","L3"
"M1_SM-GE67A_S091_E1-50","SM-GE67A_S091_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE67A_S092_E1-50","SM-GE67A_S092_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE67A_S093_E1-50","SM-GE67A_S093_E1-50","Exc L3-5 RORB RPRM","L3","L4"
"M1_SM-GE67A_S094_E1-50","SM-GE67A_S094_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE67A_S095_E1-50","SM-GE67A_S095_E1-50","Exc L3 RORB OTOGL","L3","L5"
"M1_SM-GE67C_S018_E1-50","SM-GE67C_S018_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE67C_S019_E1-50","SM-GE67C_S019_E1-50","Exc L2-3 RORB CCDC68","L3","L5"
"M1_SM-GE67C_S020_E1-50","SM-GE67C_S020_E1-50","Exc L5 THEMIS SLC22A18","L3","L5"
"M1_SM-GE67C_S021_E1-50","SM-GE67C_S021_E1-50","Exc L3-5 RORB TNNT2","L3","L4"
"M1_SM-GE67C_S022_E1-50","SM-GE67C_S022_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE67C_S023_E1-50","SM-GE67C_S023_E1-50","Exc L3-5 RORB RPRM","L3","L4"
"M1_SM-GE67C_S025_E1-50","SM-GE67C_S025_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE67C_S026_E1-50","SM-GE67C_S026_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE67C_S027_E1-50","SM-GE67C_S027_E1-50","Exc L3 RORB OTOGL","L3","L5"
"M1_SM-GE67C_S028_E1-50","SM-GE67C_S028_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE67C_S029_E1-50","SM-GE67C_S029_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE67C_S030_E1-50","SM-GE67C_S030_E1-50","Exc L5 FEZF2 PKD2L1","L3","L5"
"M1_SM-GE67C_S031_E1-50","SM-GE67C_S031_E1-50","Exc L3-5 RORB RPRM","L3","L4"
"M1_SM-GE67C_S041_E1-50","SM-GE67C_S041_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE67C_S042_E1-50","SM-GE67C_S042_E1-50","Exc L2-3 RORB CCDC68","L3","L4"
"M1_SM-GE67C_S044_E1-50","SM-GE67C_S044_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE67C_S045_E1-50","SM-GE67C_S045_E1-50","Exc L2-3 RORB CCDC68","L3","L4"
"M1_SM-GE67C_S046_E1-50","SM-GE67C_S046_E1-50","Exc L3-5 RORB RPRM","L3","L4"
"M1_SM-GE67C_S047_E1-50","SM-GE67C_S047_E1-50","Exc L5-6 THEMIS TNFAIP6","L3","L4"
"M1_SM-GE67C_S049_E1-50","SM-GE67C_S049_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE67C_S051_E1-50","SM-GE67C_S051_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE67C_S053_E1-50","SM-GE67C_S053_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE67C_S054_E1-50","SM-GE67C_S054_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE67C_S055_E1-50","SM-GE67C_S055_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE67C_S057_E1-50","SM-GE67C_S057_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE67C_S060_E1-50","SM-GE67C_S060_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE67C_S061_E1-50","SM-GE67C_S061_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE67C_S066_E1-50","SM-GE67C_S066_E1-50","Exc L3-5 RORB RPRM","L5","L5"
"M1_SM-GE67C_S067_E1-50","SM-GE67C_S067_E1-50","Exc L5 THEMIS SLC22A18","L5","L5"
"M1_SM-GE67C_S068_E1-50","SM-GE67C_S068_E1-50","Exc L3-5 RORB LNX2","L5","L4"
"M1_SM-GE67C_S070_E1-50","SM-GE67C_S070_E1-50","Exc L5 FEZF2 PKD2L1","L5","L5"
"M1_SM-GE67C_S071_E1-50","SM-GE67C_S071_E1-50","Exc L3-5 RORB RPRM","L5","L5"
"M1_SM-GE67C_S077_E1-50","SM-GE67C_S077_E1-50","Exc L6 FEZF2 KLK7","L6","L5"
"M1_SM-GE67C_S081_E1-50","SM-GE67C_S081_E1-50","Exc L6 THEMIS SNTG2","L6","L6"
"M1_SM-GE67C_S082_E1-50","SM-GE67C_S082_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE67C_S083_E1-50","SM-GE67C_S083_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE67C_S085_E1-50","SM-GE67C_S085_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L5"
"M1_SM-GE67C_S090_E1-50","SM-GE67C_S090_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE67C_S092_E1-50","SM-GE67C_S092_E1-50","Exc L5 FEZF2 PKD2L1","L6","L5"
"M1_SM-GE67C_S093_E1-50","SM-GE67C_S093_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE67C_S113_E1-50","SM-GE67C_S113_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE67C_S114_E1-50","SM-GE67C_S114_E1-50","Exc L2-3 RORB RTKN2","L3","L4"
"M1_SM-GE67C_S115_E1-50","SM-GE67C_S115_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE67C_S116_E1-50","SM-GE67C_S116_E1-50","Exc L3-5 RORB TNNT2","L3","L4"
"M1_SM-GE67C_S118_E1-50","SM-GE67C_S118_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE67C_S119_E1-50","SM-GE67C_S119_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE67C_S121_E1-50","SM-GE67C_S121_E1-50","Exc L3-5 RORB TNNT2","L3","L4"
"M1_SM-GE67C_S122_E1-50","SM-GE67C_S122_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE67C_S123_E1-50","SM-GE67C_S123_E1-50","Exc L3 RORB OTOGL","L3","L5"
"M1_SM-GE67C_S124_E1-50","SM-GE67C_S124_E1-50","Exc L3-5 RORB LAMA4","L3","L4"
"M1_SM-GE67C_S125_E1-50","SM-GE67C_S125_E1-50","Exc L2-3 RORB PTPN3","L3","L4"
"M1_SM-GE67C_S126_E1-50","SM-GE67C_S126_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE67C_S127_E1-50","SM-GE67C_S127_E1-50","Exc L3-5 RORB RPRM","L3","L4"
"M1_SM-GE67C_S130_E1-50","SM-GE67C_S130_E1-50","Exc L5 THEMIS FGF10","L5","L6"
"M1_SM-GE67C_S131_E1-50","SM-GE67C_S131_E1-50","Exc L3-5 RORB LNX2","L5","L4"
"M1_SM-GE67C_S132_E1-50","SM-GE67C_S132_E1-50","Exc L5 THEMIS VILL","L5","L5"
"M1_SM-GE67C_S133_E1-50","SM-GE67C_S133_E1-50","Exc L3-5 RORB RPRM","L5","L4"
"M1_SM-GE67C_S134_E1-50","SM-GE67C_S134_E1-50","Exc L5-6 THEMIS SMYD1","L5","L5"
"M1_SM-GE67C_S135_E1-50","SM-GE67C_S135_E1-50","Exc L5-6 THEMIS SMYD1","L5","L5"
"M1_SM-GE67C_S145_E1-50","SM-GE67C_S145_E1-50","Exc L5-6 FEZF2 IFNG-AS1","L5","L5"
"M1_SM-GE67C_S146_E1-50","SM-GE67C_S146_E1-50","Exc L5-6 FEZF2 IFNG-AS1","L5","L5"
"M1_SM-GE67C_S147_E1-50","SM-GE67C_S147_E1-50","Exc L5-6 THEMIS TNFAIP6","L5","L5"
"M1_SM-GE67C_S148_E1-50","SM-GE67C_S148_E1-50","Exc L5 FEZF2 RNF144A-AS1","L5","L5"
"M1_SM-GE67C_S149_E1-50","SM-GE67C_S149_E1-50","Exc L5 THEMIS SLC22A18","L5","L5"
"M1_SM-GE67C_S151_E1-50","SM-GE67C_S151_E1-50","Exc L5 THEMIS VILL","L5","L6"
"M1_SM-GE67C_S154_E1-50","SM-GE67C_S154_E1-50","Exc L5 THEMIS SLC22A18","L5","L5"
"M1_SM-GE67C_S158_E1-50","SM-GE67C_S158_E1-50","Exc L5 THEMIS VILL","L5","L6"
"M1_SM-GE67C_S159_E1-50","SM-GE67C_S159_E1-50","Exc L5 THEMIS FGF10","L5","L6"
"M1_SM-GE67C_S161_E1-50","SM-GE67C_S161_E1-50","Exc L5 THEMIS VILL","L5","L5"
"M1_SM-GE67C_S164_E1-50","SM-GE67C_S164_E1-50","Exc L5 RORB MED8","L5","L4"
"M1_SM-GE67C_S166_E1-50","SM-GE67C_S166_E1-50","Exc L5-6 THEMIS TNFAIP6","L5","L6"
"M1_SM-GE67C_S167_E1-50","SM-GE67C_S167_E1-50","Exc L5-6 THEMIS TNFAIP6","L5","L6"
"M1_SM-GE67C_S170_E1-50","SM-GE67C_S170_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE67C_S174_E1-50","SM-GE67C_S174_E1-50","Exc L6 THEMIS SNTG2","L6","L6"
"M1_SM-GE67C_S175_E1-50","SM-GE67C_S175_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE67C_S177_E1-50","SM-GE67C_S177_E1-50","Exc L5-6 FEZF2 SH2D1B","L6","L5"
"M1_SM-GE67C_S178_E1-50","SM-GE67C_S178_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L5"
"M1_SM-GE67C_S181_E1-50","SM-GE67C_S181_E1-50","Exc L6 THEMIS SNTG2","L6","L6"
"M1_SM-GE67C_S183_E1-50","SM-GE67C_S183_E1-50","Exc L5-6 THEMIS SMYD1","L6","L6"
"M1_SM-GE67C_S185_E1-50","SM-GE67C_S185_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE67C_S187_E1-50","SM-GE67C_S187_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE67D_S113_E1-50","SM-GE67D_S113_E1-50","Exc L3-5 RORB LINC01202","L3","L5"
"M1_SM-GE67D_S114_E1-50","SM-GE67D_S114_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE67D_S115_E1-50","SM-GE67D_S115_E1-50","Exc L2-3 RORB CCDC68","L3","L4"
"M1_SM-GE67D_S116_E1-50","SM-GE67D_S116_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE67D_S117_E1-50","SM-GE67D_S117_E1-50","Exc L3-5 FEZF2 ASGR2","L3","L5"
"M1_SM-GE67D_S118_E1-50","SM-GE67D_S118_E1-50","Exc L3 THEMIS ENPEP","L3","L4"
"M1_SM-GE67D_S119_E1-50","SM-GE67D_S119_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE67D_S122_E1-50","SM-GE67D_S122_E1-50","Exc L3 LAMP5 CARM1P1","L3","L4"
"M1_SM-GE67D_S130_E1-50","SM-GE67D_S130_E1-50","Exc L5-6 FEZF2 IFNG-AS1","L5","L5"
"M1_SM-GE67D_S131_E1-50","SM-GE67D_S131_E1-50","Exc L3-5 RORB RPRM","L5","L5"
"M1_SM-GE67D_S132_E1-50","SM-GE67D_S132_E1-50","Exc L5-6 FEZF2 OR1L8","L5","L6"
"M1_SM-GE67D_S137_E1-50","SM-GE67D_S137_E1-50","Exc L3-5 RORB RPRM","L5","L5"
"M1_SM-GE67D_S138_E1-50","SM-GE67D_S138_E1-50","Exc L5-6 FEZF2 IFNG-AS1","L5","L5"
"M1_SM-GE67D_S139_E1-50","SM-GE67D_S139_E1-50","Exc L3-5 RORB TNNT2","L5","L6"
"M1_SM-GE67D_S141_E1-50","SM-GE67D_S141_E1-50","Exc L5 THEMIS SLC22A18","L5","L5"
"M1_SM-GE67D_S142_E1-50","SM-GE67D_S142_E1-50","Exc L5 FEZF2 RNF144A-AS1","L5","L5"
"M1_SM-GE67D_S143_E1-50","SM-GE67D_S143_E1-50","Exc L5-6 FEZF2 IFNG-AS1","L5","L5"
"M1_SM-GE67D_S145_E1-50","SM-GE67D_S145_E1-50","Exc L5-6 THEMIS SMYD1","L5","L5"
"M1_SM-GE67D_S146_E1-50","SM-GE67D_S146_E1-50","Exc L3-5 RORB RPRM","L5","L5"
"M1_SM-GE67D_S147_E1-50","SM-GE67D_S147_E1-50","Exc L3-5 RORB RPRM","L5","L5"
"M1_SM-GE67D_S148_E1-50","SM-GE67D_S148_E1-50","Exc L6 FEZF2 KLK7","L5","L6"
"M1_SM-GE67D_S149_E1-50","SM-GE67D_S149_E1-50","Exc L5-6 THEMIS TNFAIP6","L5","L6"
"M1_SM-GE67D_S150_E1-50","SM-GE67D_S150_E1-50","Exc L5-6 THEMIS TNFAIP6","L5","L6"
"M1_SM-GE67D_S151_E1-50","SM-GE67D_S151_E1-50","Exc L3-5 RORB LNX2","L5","L4"
"M1_SM-GE67D_S161_E1-50","SM-GE67D_S161_E1-50","Exc L3-5 RORB RPRM","L5","L5"
"M1_SM-GE67D_S163_E1-50","SM-GE67D_S163_E1-50","Exc L3-5 RORB TNNT2","L5","L6"
"M1_SM-GE67D_S165_E1-50","SM-GE67D_S165_E1-50","Exc L5-6 FEZF2 IFNG-AS1","L5","L5"
"M1_SM-GE67D_S166_E1-50","SM-GE67D_S166_E1-50","Exc L5 THEMIS VILL","L5","L4"
"M1_SM-GE67D_S167_E1-50","SM-GE67D_S167_E1-50","Exc L5-6 THEMIS TNFAIP6","L5","L5"
"M1_SM-GE67D_S169_E1-50","SM-GE67D_S169_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE67D_S170_E1-50","SM-GE67D_S170_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE67D_S172_E1-50","SM-GE67D_S172_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L5"
"M1_SM-GE67D_S173_E1-50","SM-GE67D_S173_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE67D_S177_E1-50","SM-GE67D_S177_E1-50","Exc L6 THEMIS SLN","L6","L6"
"M1_SM-GE67D_S178_E1-50","SM-GE67D_S178_E1-50","Exc L6 THEMIS LINC00343","L6","L6"
"M1_SM-GE67D_S179_E1-50","SM-GE67D_S179_E1-50","Exc L6 THEMIS LINC00343","L6","L5"
"M1_SM-GE67D_S180_E1-50","SM-GE67D_S180_E1-50","Exc L6 THEMIS LINC00343","L6","L5"
"M1_SM-GE67D_S182_E1-50","SM-GE67D_S182_E1-50","Exc L5-6 THEMIS SMYD1","L6","L6"
"M1_SM-GE67D_S183_E1-50","SM-GE67D_S183_E1-50","Exc L5-6 THEMIS TNFAIP6","L6","L6"
"M1_SM-GE67D_S189_E1-50","SM-GE67D_S189_E1-50","Exc L5-6 FEZF2 OR1L8","L6","L6"
