"","sample_id","cluster","M1_layer","MTG_layer_transfer"
"M1_SM-GE67K_S061_E1-50","SM-GE67K_S061_E1-50","Exc L2 LINC00507 ATP7B","L1","L3"
"M1_SM-GE67K_S065_E1-50","SM-GE67K_S065_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE67K_S066_E1-50","SM-GE67K_S066_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE67K_S068_E1-50","SM-GE67K_S068_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE67K_S069_E1-50","SM-GE67K_S069_E1-50","Exc L2-3 RORB CCDC68","L2","L4"
"M1_SM-GE67K_S070_E1-50","SM-GE67K_S070_E1-50","Exc L2-3 RORB RTKN2","L2","L4"
"M1_SM-GE67K_S071_E1-50","SM-GE67K_S071_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE67K_S072_E1-50","SM-GE67K_S072_E1-50","Exc L2 LINC00507 GLRA3","L2","L2"
"M1_SM-GE67K_S073_E1-50","SM-GE67K_S073_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE67K_S074_E1-50","SM-GE67K_S074_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE67K_S075_E1-50","SM-GE67K_S075_E1-50","Exc L3-5 RORB RPRM","L3","L4"
"M1_SM-GE67K_S076_E1-50","SM-GE67K_S076_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE67K_S077_E1-50","SM-GE67K_S077_E1-50","Exc L2-3 RORB PTPN3","L3","L4"
"M1_SM-GE67K_S078_E1-50","SM-GE67K_S078_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE67K_S079_E1-50","SM-GE67K_S079_E1-50","Exc L3-5 RORB LINC01202","L3","L4"
"M1_SM-GE67K_S081_E1-50","SM-GE67K_S081_E1-50","Exc L3-5 RORB RPRM","L5","L5"
"M1_SM-GE67K_S082_E1-50","SM-GE67K_S082_E1-50","Exc L5 THEMIS LINC01116","L5","L5"
"M1_SM-GE67K_S083_E1-50","SM-GE67K_S083_E1-50","Exc L5-6 THEMIS SMYD1","L5","L6"
"M1_SM-GE67K_S084_E1-50","SM-GE67K_S084_E1-50","Exc L5-6 THEMIS TNFAIP6","L5","L5"
"M1_SM-GE67K_S085_E1-50","SM-GE67K_S085_E1-50","Exc L5-6 THEMIS TNFAIP6","L5","L6"
"M1_SM-GE67K_S087_E1-50","SM-GE67K_S087_E1-50","Exc L5-6 FEZF2 IFNG-AS1","L5","L5"
"M1_SM-GE67K_S090_E1-50","SM-GE67K_S090_E1-50","Exc L5-6 THEMIS TNFAIP6","L6","L5"
"M1_SM-GE67K_S095_E1-50","SM-GE67K_S095_E1-50","Exc L6 FEZF2 PROKR2","L6","L6"
"M1_SM-GE678_S057_E1-50","SM-GE678_S057_E1-50","Exc L2-3 RORB RTKN2","L2","L4"
"M1_SM-GE678_S058_E1-50","SM-GE678_S058_E1-50","Exc L2-3 RORB CCDC68","L2","L4"
"M1_SM-GE678_S059_E1-50","SM-GE678_S059_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE678_S060_E1-50","SM-GE678_S060_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE678_S061_E1-50","SM-GE678_S061_E1-50","Exc L2-3 RORB CCDC68","L2","L3"
"M1_SM-GE678_S062_E1-50","SM-GE678_S062_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE678_S063_E1-50","SM-GE678_S063_E1-50","Exc L2 LINC00507 ATP7B","L2","L3"
"M1_SM-GE678_S065_E1-50","SM-GE678_S065_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE678_S066_E1-50","SM-GE678_S066_E1-50","Exc L2-3 RORB PTPN3","L2","L3"
"M1_SM-GE678_S067_E1-50","SM-GE678_S067_E1-50","Exc L3 LAMP5 CARM1P1","L2","L3"
