tree_order,cluster_id,cluster_label,cluster_color,cluster_size,class,class_color,subclass,subclass_color,level2,level2_color,level3,level3_color,integrated,integrated_color,integrated_FINAL,integrated_FINAL_color,integrated_alias,orig_DNAm_cluster_id,orig_DNAm_cluster_name,DNAm_cluster_id,DNAm_cluster_name,DNAm_cluster_label,DNAm_cluster_color,ATAC_cluster_id,ATAC_cluster_label,ATAC_cluster_color,MTG_best_match,Notes,old_order,old_cluster_color
123,123,Astro L1-6 FGFR3 AQP1,#4f492f,119,Non-neuronal,#6D7A67,Astro,#665C47,Astrocyte,#696E50,Astrocyte,#696E50,N_7,#5A503F,Astro_1,#867E6E,ILA or fibrous astro,29,NonN_ASC,29,NonN_ASC,Astro L1-6 FGFR3 RNF219-AS1,#4f492f,39,Astro L1-6 FGFR3 AQP1,#4f492f,Astro L1-2 FGFR3 GFAP,Fibrous astro,121,#6B8059
124,124,Astro L1 FGFR3 SERPINI2,#5A503F,72,Non-neuronal,#6D7A67,Astro,#665C47,Astrocyte,#696E50,Astrocyte,#696E50,N_7,#5A503F,Astro_1,#675D48,ILA or fibrous astro,29,NonN_ASC,29,NonN_ASC,Astro L1-6 FGFR3 RNF219-AS1,#4f492f,37,Astro L1 FGFR3 SERPINI2,#5A503F,Astro L1-2 FGFR3 GFAP,Interlaminar (L1) astro,120,#655A47
125,125,Astro L1-6 FGFR3 PLCG1,#8D7C5D,377,Non-neuronal,#6D7A67,Astro,#665C47,Astrocyte,#696E50,Astrocyte,#696E50,N_2,#8D7C5D,Astro_2,#675D48,Protoplasmic astro,29,NonN_ASC,29,NonN_ASC,Astro L1-6 FGFR3 RNF219-AS1,#4f492f,38,Astro L1-6 FGFR3 PLCG1,#8D7C5D,Astro L1-6 FGFR3 SLC14A1,Protoplasmic astro,119,#645B45
72,72,Inh L1-6 PVALB COL15A1,#F4358B,288,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_29,#FF197F,Chandelier,#F4358B,Chandelier,16,Inh_MGE_PVALB_UNC5B,16,Inh_MGE_PVALB_UNC5B,Inh L1-6 PVALB COL15A1,#F4358B,18,Inh L1-6 PVALB COL15A1,#F4358B,Inh L2-5 PVALB SCUBE3,,38,#FF197F
126,126,Endo L2-5 NOSTRIN SRGN,#8D6C62,64,Non-neuronal,#6D7A67,Endo,#8D6C62,Other NN,#99796B,Other NN,#99796B,N_6,#8D6A62,Endo,#8D6C62,,18,NonN_MGC-NonN-Mix_Other,18,NonN_MGC-NonN-Mix_Other,Glia L1-5 NOSTRIN MECOM,#8D6C62,43,Glia L1-5 NOSTRIN MECOM,#8D6C62,Endo L2-6 NOSTRIN,,126,#977B6A
73,73,Exc L2 LAMP5 KCNG3,#7aad22,261,Glutamatergic,#3EA185,L2/3 IT,#C4EC04,IT projecting,#3ECB88,IT projecting,#3ECB88,E_12,#00FF34,L2/3 IT,#C4EC04,,17,Exc_SupIT_SupExc_ST3GAL1,17,Exc_SupIT_SupExc_ST3GAL1,Exc L1-3 LAMP5 LINC00507,#7aad22,20,Exc L2 LAMP5 KCNG3,#7aad22,Exc L2-3 LINC00507 FREM3; Exc L2 LAMP5 LTK,,114,#7BE5AC
74,74,Exc L2 LINC00507 ATP7B,#c6ff1f,183,Glutamatergic,#3EA185,L2/3 IT,#C4EC04,IT projecting,#3ECB88,IT projecting,#3ECB88,E_3,#07D945,L2/3 IT,#C4EC04,,17,Exc_SupIT_SupExc_ST3GAL1,17,Exc_SupIT_SupExc_ST3GAL1,Exc L1-3 LAMP5 LINC00507,#7aad22,19,Exc L2 LINC00507 ATP7B,#c6ff1f,Exc L2-4 LINC00507 GLP2R,,91,#7AE3AC
75,75,Exc L2 LINC00507 GLRA3,#cecd32,12485,Glutamatergic,#3EA185,L2/3 IT,#C4EC04,IT projecting,#3ECB88,IT projecting,#3ECB88,E_3,#07D945,L2/3 IT,#C4EC04,,17,Exc_SupIT_SupExc_ST3GAL1,17,Exc_SupIT_SupExc_ST3GAL1,Exc L1-3 LAMP5 LINC00507,#7aad22,21,Exc L2 LINC00507 GLRA3,#cecd32,Exc L2-3 LINC00507 FREM3; Exc L2 LAMP5 LTK,,75,#78E6A8
76,76,Exc L2-3 RORB RTKN2,#c9ff3c,1211,Glutamatergic,#3EA185,L2/3 IT,#C4EC04,IT projecting,#3ECB88,IT projecting,#3ECB88,E_3,#07D945,L2/3 IT,#C4EC04,,17,Exc_SupIT_SupExc_ST3GAL1,17,Exc_SupIT_SupExc_ST3GAL1,Exc L1-3 LAMP5 LINC00507,#7aad22,27,Exc L2-3 RORB RTKN2,#c9ff3c,Exc L2-3 LINC00507 FREM3,,104,#7CE8AA
77,77,Exc L2-3 LINC00507 DSG3,#a0e400,1088,Glutamatergic,#3EA185,L2/3 IT,#C4EC04,IT projecting,#3ECB88,IT projecting,#3ECB88,E_13,#a0e400,L2/3 IT,#C4EC04,,17,Exc_SupIT_SupExc_ST3GAL1,17,Exc_SupIT_SupExc_ST3GAL1,Exc L1-3 LAMP5 LINC00507,#7aad22,23,Exc L2-3 LINC00507 DSG3,#a0e400,Exc L2-3 LINC00507 FREM3,,97,#7AE7AD
78,78,Exc L3 LAMP5 CARM1P1,#93d92b,4044,Glutamatergic,#3EA185,L2/3 IT,#C4EC04,IT projecting,#3ECB88,IT projecting,#3ECB88,E_13,#a0e400,L2/3 IT,#C4EC04,,17,Exc_SupIT_SupExc_ST3GAL1,17,Exc_SupIT_SupExc_ST3GAL1,Exc L1-3 LAMP5 LINC00507,#7aad22,22,Exc L3 LAMP5 MIR3976HG,#93d92b,Exc L2-3 LINC00507 FREM3,,102,#79E5AD
110,110,Exc L5 FEZF2 CSN1S1,#0D5D7E,150,Glutamatergic,#3EA185,L5 ET,#0D5B78,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_22,#0D5D7E,L5 ET_1,#407D94,L5 ET (Betz),27,Exc_DeepIT_BCL6,27,Exc_DeepIT_BCL6,Exc L3-5 FEZF2 LOC101929352,#0D5D7E,34,Exc L3-5 FEZF2 LOC101929352,#0D5D7E,Exc L4-5 FEZF2 SCN4B,,79,#0F4E00
111,111,Exc L3-5 FEZF2 ASGR2,#0A75B1,620,Glutamatergic,#3EA185,L5 ET,#0D5B78,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_4,#0B77A5,L5 ET_1,#407D94,L5 ET (Betz),27,Exc_DeepIT_BCL6,27,Exc_DeepIT_BCL6,Exc L3-5 FEZF2 LOC101929352,#0D5D7E,34,Exc L3-5 FEZF2 LOC101929352,#0D5D7E,Exc L4-5 FEZF2 SCN4B,,95,#125100
112,112,Exc L3-5 FEZF2 LINC01107,#0B77A5,88,Glutamatergic,#3EA185,L5 ET,#0D5B78,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_4,#0B77A5,L5 ET_2,#0F5C79,L5 ET (Betz),27,Exc_DeepIT_BCL6,27,Exc_DeepIT_BCL6,Exc L3-5 FEZF2 LOC101929352,#0D5D7E,34,Exc L3-5 FEZF2 LOC101929352,#0D5D7E,Exc L4-5 FEZF2 SCN4B,,112,#115102
80,80,Exc L2-3 RORB CCDC68,#b8eb62,3331,Glutamatergic,#3EA185,L2/3 IT,#C4EC04,IT projecting,#3ECB88,IT projecting,#3ECB88,E_18,#b8eb62,L5 IT_1,#75C2BE,,20,Exc_SupIT_SupExc_RORB,20,Exc_SupIT_SupExc_RORB,Exc L2-3 RORB LOC101927281,#b8eb62,28,Exc L2-3 RORB VIPR2,#b8eb62,Exc L3-4 RORB CARM1P1,,74,#00979D
81,81,Exc L2-3 RORB PTPN3,#b7ce00,1628,Glutamatergic,#3EA185,L2/3 IT,#C4EC04,IT projecting,#3ECB88,IT projecting,#3ECB88,E_18,#b8eb62,L5 IT_1,#75C2BE,,20 / 21,Exc_SupIT_SupExc_RORB / Exc_DeepIT_RORB,20,Exc_SupIT_SupExc_RORB,Exc L2-3 RORB LOC101927281,#b8eb62,28,Exc L2-3 RORB VIPR2,#b8eb62,Exc L3-4 RORB CARM1P1,,107,#0092C4
82,82,Exc L3 THEMIS ENPEP,#297c71,785,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_5,#09CCC6,L5 IT_1,#75C2BE,,17,Exc_SupIT_SupExc_ST3GAL1,17,Exc_SupIT_SupExc_ST3GAL1,Exc L1-3 LAMP5 LINC00507,#7aad22,22,Exc L3 LAMP5 MIR3976HG,#93d92b,Exc L2-3 LINC00507 FREM3,,99,#7AE6A9
83,83,Exc L3-5 RORB TNNT2,#00bbc0,535,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_10,#52B8AA,L5 IT_1,#75C2BE,,21,Exc_DeepIT_RORB,21,Exc_DeepIT_RORB,Exc L3-5 RORB COL22A1,#00bbc0,25,Exc L3-5 RORB COL22A1,#00bbc0,Exc L2-3 LINC00507 FREM3,,82,#A29822
84,84,Exc L3-5 RORB LAMA4,#73ede2,250,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_5,#09CCC6,L5 IT_1,#75C2BE,,21,Exc_DeepIT_RORB,21,Exc_DeepIT_RORB,Exc L3-5 RORB COL22A1,#00bbc0,28,Exc L2-3 RORB VIPR2,#b8eb62,Exc L2-3 LINC00507 FREM3,,87,#0095C1
85,85,Exc L5 THEMIS VILL,#4ca8ac,216,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_23,#4ca8ac,L5 IT_1,#75C2BE,,22,Exc_DeepIT_OPRK1,22,Exc_DeepIT_OPRK1,Exc L5-6 THEMIS SERPINF1,#4ca8ac,24,Exc L5-6 THEMIS TMEM18,#4ca8ac,Exc L5-6 THEMIS C1QL3,,76,#28BD65
86,86,Exc L3 RORB OTOGL,#91e6e9,2134,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_10,#52B8AA,L5 IT_1,#75C2BE,,21,Exc_DeepIT_RORB,21,Exc_DeepIT_RORB,Exc L3-5 RORB COL22A1,#00bbc0,25,Exc L3-5 RORB COL22A1,#00bbc0,Exc L3-5 RORB COL22A1,,98,#77D9B7
87,87,Exc L3-5 RORB LINC01202,#547d7a,640,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_19,#1AAB99,L5 IT_1,#75C2BE,,21,Exc_DeepIT_RORB,21,Exc_DeepIT_RORB,Exc L3-5 RORB COL22A1,#00bbc0,25,Exc L3-5 RORB COL22A1,#00bbc0,Exc L3-5 RORB ESR1,,108,#00DDC5
88,88,Exc L5 THEMIS SLC22A18,#99d5cb,1824,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_8,#4A9F93,L5 IT_2,#51B2AD,,23,Exc_DeepIT_LRRK1,23,Exc_DeepIT_LRRK1,Exc L3-5 RORB LOC105374972,#99d5cb,29,Exc L3-5 RORB LOC105374972,#99d5cb,Exc L4-5 RORB FOLH1B,,80,#00A809
90,90,Exc L3-5 RORB LNX2,#01d9d5,4631,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_14,#58D2C1,L5 IT_2,#51B2AD,,23,Exc_DeepIT_LRRK1,23,Exc_DeepIT_LRRK1,Exc L3-5 RORB LOC105374972,#99d5cb,29,Exc L3-5 RORB LOC105374972,#99d5cb,Exc L4-5 RORB FOLH1B,,84,#00A808
91,91,Exc L3-5 RORB RPRM,#7baaac,1231,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_20,#7baaac,L5 IT_2,#51B2AD,,23,Exc_DeepIT_LRRK1,23,Exc_DeepIT_LRRK1,Exc L3-5 RORB LOC105374972,#99d5cb,29,Exc L3-5 RORB LOC105374972,#99d5cb,Exc L4-6 RORB SEMA3E,,101,#26FFF2
92,92,Exc L5 RORB MED8,#97c3c4,309,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_15,#97c3c4,L5 IT_3,#408F8B,,21,Exc_DeepIT_RORB,21,Exc_DeepIT_RORB,Exc L3-5 RORB COL22A1,#00bbc0,25,Exc L3-5 RORB COL22A1,#00bbc0,Exc L4-6 RORB C1R,,113,#008F1F
93,93,Exc L5 THEMIS FGF10,#01aba7,147,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_15,#97c3c4,L5 IT_3,#408F8B,,22,Exc_DeepIT_OPRK1,22,Exc_DeepIT_OPRK1,Exc L5-6 THEMIS SERPINF1,#4ca8ac,24,Exc L5-6 THEMIS TMEM18,#4ca8ac,Exc L5-6 RORB TTC12,,106,#24BE65
113,113,Exc L5 FEZF2 PKD2L1,#497d4b,280,Glutamatergic,#3EA185,L5/6 NP,#3E9E64,Non-IT projecting,#3ECB88,Non-IT projecting,#3ECB88,E_2,#48CB80,L5/6 NP,#3E9E64,,28,Exc_L6NP_TSHZ2,28,Exc_L6NP_TSHZ2,Exc L5-6 FEZF2 NPSR1-AS1,#497d4b,35,Exc L5-6 FEZF2 NPSR1-AS1,#497d4b,Exc L4-6 FEZF2 IL26,,83,#73C993
114,114,Exc L5 FEZF2 NREP-AS1,#3abe8b,229,Glutamatergic,#3EA185,L5/6 NP,#3E9E64,Non-IT projecting,#3ECB88,Non-IT projecting,#3ECB88,E_2,#48CB80,L5/6 NP,#3E9E64,,28,Exc_L6NP_TSHZ2,28,Exc_L6NP_TSHZ2,Exc L5-6 FEZF2 NPSR1-AS1,#497d4b,35,Exc L5-6 FEZF2 NPSR1-AS1,#497d4b,Exc L4-6 FEZF2 IL26,,81,#72CB96
115,115,Exc L5 FEZF2 RNF144A-AS1,#60ba66,108,Glutamatergic,#3EA185,L5/6 NP,#3E9E64,Non-IT projecting,#3ECB88,Non-IT projecting,#3ECB88,E_2,#48CB80,L5/6 NP,#3E9E64,,28,Exc_L6NP_TSHZ2,28,Exc_L6NP_TSHZ2,Exc L5-6 FEZF2 NPSR1-AS1,#497d4b,35,Exc L5-6 FEZF2 NPSR1-AS1,#497d4b,Exc L4-6 FEZF2 IL26,,105,#71C996
