tree_order,cluster_id,cluster_label,cluster_color,cluster_size,class,class_color,subclass,subclass_color,level2,level2_color,level3,level3_color,integrated,integrated_color,integrated_FINAL,integrated_FINAL_color,integrated_alias,orig_DNAm_cluster_id,orig_DNAm_cluster_name,DNAm_cluster_id,DNAm_cluster_name,DNAm_cluster_label,DNAm_cluster_color,ATAC_cluster_id,ATAC_cluster_label,ATAC_cluster_color,MTG_best_match,Notes,old_order,old_cluster_color
116,116,Exc L5-6 FEZF2 IFNG-AS1,#2c815f,753,Glutamatergic,#3EA185,L5/6 NP,#3E9E64,Non-IT projecting,#3ECB88,Non-IT projecting,#3ECB88,E_2,#48CB80,L5/6 NP,#3E9E64,,28,Exc_L6NP_TSHZ2,28,Exc_L6NP_TSHZ2,Exc L5-6 FEZF2 NPSR1-AS1,#497d4b,35,Exc L5-6 FEZF2 NPSR1-AS1,#497d4b,Exc L4-6 FEZF2 IL26,,78,#73CC94
117,117,Exc L5-6 FEZF2 LPO,#05996b,117,Glutamatergic,#3EA185,L5/6 NP,#3E9E64,Non-IT projecting,#3ECB88,Non-IT projecting,#3ECB88,E_24,#05996b,L5/6 NP,#3E9E64,,28,Exc_L6NP_TSHZ2,28,Exc_L6NP_TSHZ2,Exc L5-6 FEZF2 NPSR1-AS1,#497d4b,35,Exc L5-6 FEZF2 NPSR1-AS1,#497d4b,Exc L4-6 FEZF2 IL26,,100,#72CA97
98,98,Exc L5-6 FEZF2 OR1L8,#5e8099,263,Glutamatergic,#3EA185,L6 CT,#2D8CB8,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_7,#168577,L6 CT_1,#59A4C7,,25,Exc_DeepCT_FOXP2_SYT6,25,Exc_DeepCT_FOXP2_SYT6,Exc L5-6 FEZF2 LOC105371833,#5e8099,31,Exc L5-6 FEZF2 LOC105376596,#5e8099,Exc L5-6 FEZF2 ABO,,86,#1D6665
99,99,Exc L5 THEMIS LINC01116,#41c5fb,151,Glutamatergic,#3EA185,L6 CT,#2D8CB8,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_1,#338C5E,L6 CT_1,#59A4C7,,25,Exc_DeepCT_FOXP2_SYT6,25,Exc_DeepCT_FOXP2_SYT6,Exc L5-6 FEZF2 LOC105371833,#5e8099,31,Exc L5-6 FEZF2 LOC105376596,#5e8099,Exc L5-6 FEZF2 ABO,,103,#216768
100,100,Exc L5 THEMIS RGPD6,#1c657f,241,Glutamatergic,#3EA185,L6 CT,#2D8CB8,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_1,#338C5E,L6 CT_1,#59A4C7,,25,Exc_DeepCT_FOXP2_SYT6,25,Exc_DeepCT_FOXP2_SYT6,Exc L5-6 FEZF2 LOC105371833,#5e8099,31,Exc L5-6 FEZF2 LOC105376596,#5e8099,Exc L5-6 FEZF2 ABO,,73,#1E6668
102,102,Exc L5-6 FEZF2 FILIP1L,#2a84b9,318,Glutamatergic,#3EA185,L6 CT,#2D8CB8,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_1,#338C5E,L6 CT_1,#59A4C7,,25,Exc_DeepCT_FOXP2_SYT6,25,Exc_DeepCT_FOXP2_SYT6,Exc L5-6 FEZF2 LOC105371833,#5e8099,31,Exc L5-6 FEZF2 LOC105376596,#5e8099,Exc L5-6 FEZF2 ABO,,90,#1F6466
103,103,Exc L5-6 FEZF2 SH2D1B,#4aa9e7,159,Glutamatergic,#3EA185,L6 CT,#2D8CB8,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_1,#338C5E,L6 CT_1,#59A4C7,,25,Exc_DeepCT_FOXP2_SYT6,25,Exc_DeepCT_FOXP2_SYT6,Exc L5-6 FEZF2 LOC105371833,#5e8099,31,Exc L5-6 FEZF2 LOC105376596,#5e8099,Exc L5-6 FEZF2 ABO,,116,#1F6766
101,101,Exc L5-6 FEZF2 C9orf135-AS1,#8fb5ce,2602,Glutamatergic,#3EA185,L6 CT,#2D8CB8,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_7,#168577,L6 CT_2,#2F8DB8,,25,Exc_DeepCT_FOXP2_SYT6,25,Exc_DeepCT_FOXP2_SYT6,Exc L5-6 FEZF2 LOC105371833,#5e8099,32,Exc L5-6 FEZF2 C9orf135-AS1,#8fb5ce,Exc L5-6 FEZF2 ABO,,88,#1F6666
94,94,Exc L6 THEMIS LINC00343,#cdce31,905,Glutamatergic,#3EA185,L6 IT,#A19922,IT projecting,#3ECB88,IT projecting,#3ECB88,E_6,#B2AD23,L6 IT_1,#B4AE50,,22,Exc_DeepIT_OPRK1,22,Exc_DeepIT_OPRK1,Exc L5-6 THEMIS SERPINF1,#4ca8ac,26,Exc L6 THEMIS LINC00343,#cdce31,Exc L5-6 THEMIS C1QL3,,77,#A19A21
95,95,Exc L6 THEMIS SLN,#707b00,436,Glutamatergic,#3EA185,L6 IT,#A19922,IT projecting,#3ECB88,IT projecting,#3ECB88,E_6,#B2AD23,L6 IT_1,#B4AE50,,22,Exc_DeepIT_OPRK1,22,Exc_DeepIT_OPRK1,Exc L5-6 THEMIS SERPINF1,#4ca8ac,26,Exc L6 THEMIS LINC00343,#cdce31,Exc L5-6 THEMIS C1QL3,,96,#A09724
89,89,Exc L5-6 THEMIS TNFAIP6,#5fc5b6,1132,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_8,#4A9F93,L6 IT_2,#A19A24,,22,Exc_DeepIT_OPRK1,22,Exc_DeepIT_OPRK1,Exc L5-6 THEMIS SERPINF1,#4ca8ac,24,Exc L5-6 THEMIS TMEM18,#4ca8ac,Exc L5-6 THEMIS C1QL3,,110,#A49B23
96,96,Exc L6 THEMIS SNTG2,#d0d161,488,Glutamatergic,#3EA185,L6 IT,#A19922,IT projecting,#3ECB88,IT projecting,#3ECB88,E_17,#52B4B8,L6 IT_2,#A19A24,,22,Exc_DeepIT_OPRK1,22,Exc_DeepIT_OPRK1,Exc L5-6 THEMIS SERPINF1,#4ca8ac,26,Exc L6 THEMIS LINC00343,#cdce31,Exc L5-6 THEMIS C1QL3,,94,#9F9B21
97,97,Exc L5-6 THEMIS SMYD1,#5100FF,327,Glutamatergic,#3EA185,L6 IT Car3,#5100FF,IT projecting,#3ECB88,IT projecting,#3ECB88,E_21,#5100FF,L6 IT_3,#827B1B,,24,Exc_DeepIT_OLFML2B,24,Exc_DeepIT_OLFML2B,Exc L5-6 THEMIS SMYD1,#5100FF,30,Exc L5-6 THEMIS SMYD1,#5100FF,Exc L5-6 THEMIS C1QL3; Exc L5-6 THEMIS CRABP1; Exc L5-6 THEMIS DCSTAMP,,93,#A19B20
104,104,Exc L6 FEZF2 PDYN,#22225c,22,Glutamatergic,#3EA185,L6b,#53377D,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_9,#46306A,L6b,#53377D,,26,Exc_DeepCT_FOXP2_AMOTL1,26,Exc_DeepCT_FOXP2_AMOTL1,Exc L6 FEZF2 NPFFR2,#22225c,33,Exc L6 FEZF2 NPFFR2,#22225c,Exc L6 FEZF2 OR2T8; Exc L6 FEZF2 SCUBE1,,115,#244766
105,105,Exc L6 FEZF2 FFAR4,#400855,106,Glutamatergic,#3EA185,L6b,#53377D,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_9,#46306A,L6b,#53377D,,26,Exc_DeepCT_FOXP2_AMOTL1,26,Exc_DeepCT_FOXP2_AMOTL1,Exc L6 FEZF2 NPFFR2,#22225c,33,Exc L6 FEZF2 NPFFR2,#22225c,Exc L5-6 FEZF2 IL15,,85,#34507E
106,106,Exc L6 FEZF2 PROKR2,#3e3492,72,Glutamatergic,#3EA185,L6b,#53377D,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_9,#46306A,L6b,#53377D,,26,Exc_DeepCT_FOXP2_AMOTL1,26,Exc_DeepCT_FOXP2_AMOTL1,Exc L6 FEZF2 NPFFR2,#22225c,33,Exc L6 FEZF2 NPFFR2,#22225c,Exc L6 FEZF2 OR2T8; Exc L6 FEZF2 SCUBE1,,89,#234466
107,107,Exc L5-6 FEZF2 CFTR,#836ca7,108,Glutamatergic,#3EA185,L6b,#53377D,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_11,#464576,L6b,#53377D,,26,Exc_DeepCT_FOXP2_AMOTL1,26,Exc_DeepCT_FOXP2_AMOTL1,Exc L6 FEZF2 NPFFR2,#22225c,33,Exc L6 FEZF2 NPFFR2,#22225c,Exc L5-6 FEZF2 EFTUD1P1,,111,#34537E
108,108,Exc L6 FEZF2 KLK7,#7568ce,1801,Glutamatergic,#3EA185,L6b,#53377D,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_11,#464576,L6b,#53377D,,26,Exc_DeepCT_FOXP2_AMOTL1,26,Exc_DeepCT_FOXP2_AMOTL1,Exc L6 FEZF2 NPFFR2,#22225c,33,Exc L6 FEZF2 NPFFR2,#22225c,Exc L5-6 FEZF2 EFTUD1P1,,109,#325181
109,109,Exc L6 FEZF2 POGK,#5d4eb0,127,Glutamatergic,#3EA185,L6b,#53377D,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_11,#464576,L6b,#53377D,,26,Exc_DeepCT_FOXP2_AMOTL1,26,Exc_DeepCT_FOXP2_AMOTL1,Exc L6 FEZF2 NPFFR2,#22225c,33,Exc L6 FEZF2 NPFFR2,#22225c,Exc L5-6 FEZF2 EFTUD1P1,,92,#31507F
1,1,Inh L1 LAMP5 PVRL2,#ad474f,94,GABAergic,#C95170,Lamp5,#DA808C,CGE/PoA,#C456AA,Lamp5/Other,#E37B97,I_23,#FF8C97,Lamp5_1,#E9B4BB,,0,Inh_CGE_LAMP5_PLD5,0,Inh_CGE_LAMP5_PLD5,Inh L1 LAMP5 LOC101927870,#ad474f,3,Inh L1-6 LAMP5 KIRREL,#ad474f,Inh L1-2 LAMP5 DBP,,61,#E47A71
2,2,Inh L1 LAMP5 RAB11FIP1,#ffa0a7,246,GABAergic,#C95170,Lamp5,#DA808C,CGE/PoA,#C456AA,Lamp5/Other,#E37B97,I_4,#FFA388,Lamp5_2,#E19AA4,Rosehip,0 / 1,Inh_CGE_LAMP5_PLD5 / Inh_CGE_LAMP5_IL1RAP,1,Inh_CGE_LAMP5_IL1RAP,Inh L1-6 LAMP5 CPLX3,#ffa0a7,3,Inh L1-6 LAMP5 KIRREL,#ad474f,Inh L1-4 LAMP5 LCP2,,68,#FEA286
3,3,Inh L1-6 LAMP5 AARD,#ff8aa8,1539,GABAergic,#C95170,Lamp5,#DA808C,CGE/PoA,#C456AA,Lamp5/Other,#E37B97,I_4,#FFA388,Lamp5_2,#E19AA4,Rosehip,1,Inh_CGE_LAMP5_IL1RAP,1,Inh_CGE_LAMP5_IL1RAP,Inh L1-6 LAMP5 CPLX3,#ffa0a7,3,Inh L1-6 LAMP5 KIRREL,#ad474f,Inh L1-4 LAMP5 LCP2,,34,#FEA48A
4,4,Inh L1-6 LAMP5 NES,#e96f73,419,GABAergic,#C95170,Lamp5,#DA808C,CGE/PoA,#C456AA,Lamp5/Other,#E37B97,I_4,#FFA388,Lamp5_2,#E19AA4,Rosehip,1,Inh_CGE_LAMP5_IL1RAP,1,Inh_CGE_LAMP5_IL1RAP,Inh L1-6 LAMP5 CPLX3,#ffa0a7,3,Inh L1-6 LAMP5 KIRREL,#ad474f,Inh L1-4 LAMP5 LCP2,,10,#FEA486
5,5,Inh L1-6 LAMP5 CA1,#a76b6a,465,GABAergic,#C95170,Lamp5,#DA808C,CGE/PoA,#C456AA,Lamp5/Other,#E37B97,I_15,#C77963,Lamp5_3,#DA818D,Lamp5 Lhx6,2,Inh_CGE_LAMP5_SFRP1,2,Inh_CGE_LAMP5_SFRP1,Inh L1-6 LAMP5 SFRP1,#a76b6a,3,Inh L1-6 LAMP5 KIRREL,#ad474f,Inh L2-6 LAMP5 CA1,,46,#C67B62
6,6,Inh L5-6 LAMP5 CRABP1,#bf7e7d,923,GABAergic,#C95170,Lamp5,#DA808C,CGE/PoA,#C456AA,Lamp5/Other,#E37B97,I_15,#C77963,Lamp5_3,#DA818D,Lamp5 Lhx6,2,Inh_CGE_LAMP5_SFRP1,2,Inh_CGE_LAMP5_SFRP1,Inh L1-6 LAMP5 SFRP1,#a76b6a,3,Inh L1-6 LAMP5 KIRREL,#ad474f,Inh L2-6 LAMP5 CA1,,14,#C77963
7,7,Inh L3-6 PAX6 LINC01497,#e09a99,84,GABAergic,#C95170,Lamp5,#DA808C,CGE/PoA,#C456AA,Lamp5/Other,#E37B97,I_44,#e09a99,Lamp5_4,#B06771,,3,Inh_CGE_VIP_WLS,3,Inh_CGE_VIP_WLS,Inh L1 GAD1 SP8,#e09a99,1,Inh L1 GAD1 SP8,#e09a99,Inh L1-2 PAX6 TNFAIP8L3,,64,#FF88AD
8,8,Inh L1 PAX6 MIR101-1,#9e515e,139,GABAergic,#C95170,Lamp5,#DA808C,CGE/PoA,#C456AA,Lamp5/Other,#E37B97,I_24,#DDACC9,Lamp5_4,#B06771,,3,Inh_CGE_VIP_WLS,3,Inh_CGE_VIP_WLS,Inh L1 GAD1 SP8,#e09a99,1,Inh L1 GAD1 SP8,#e09a99,Inh L1-2 PAX6 CDH12,,66,#DFABCB
