nleaves	celltype	comp
3	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
5	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
2	L2/3 IT	human.marmo
5	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
5	L2/3 IT	human.marmo
2	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
5	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
6	L2/3 IT	human.marmo
2	L2/3 IT	human.marmo
5	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
2	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
2	L2/3 IT	human.marmo
1	L2/3 IT	human.marmo
5	L2/3 IT	human.marmo
1	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
6	L2/3 IT	human.marmo
1	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
6	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
2	L2/3 IT	human.marmo
1	L2/3 IT	human.marmo
1	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
2	L2/3 IT	human.marmo
1	L2/3 IT	human.marmo
1	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
6	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
5	L2/3 IT	human.marmo
1	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
6	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
5	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
5	L2/3 IT	human.marmo
5	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
5	L2/3 IT	human.marmo
1	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
2	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
2	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
2	L2/3 IT	human.marmo
6	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
5	L2/3 IT	human.marmo
2	L2/3 IT	human.marmo
4	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
6	L2/3 IT	human.marmo
6	L2/3 IT	human.marmo
3	L2/3 IT	human.marmo
5	L2/3 IT	human.marmo
2	L2/3 IT	human.marmo
5	L2/3 IT	human.marmo
2	L5 ET	human.marmo
2	L5 ET	human.marmo
3	L5 ET	human.marmo
0	L5 ET	human.marmo
0	L5 ET	human.marmo
-1	L5 ET	human.marmo
4	L5 ET	human.marmo
2	L5 ET	human.marmo
1	L5 ET	human.marmo
3	L5 ET	human.marmo
1	L5 ET	human.marmo
0	L5 ET	human.marmo
1	L5 ET	human.marmo
4	L5 ET	human.marmo
2	L5 ET	human.marmo
1	L5 ET	human.marmo
2	L5 ET	human.marmo
1	L5 ET	human.marmo
5	L5 ET	human.marmo
2	L5 ET	human.marmo
1	L5 ET	human.marmo
2	L5 ET	human.marmo
1	L5 ET	human.marmo
4	L5 ET	human.marmo
3	L5 ET	human.marmo
2	L5 ET	human.marmo
1	L5 ET	human.marmo
3	L5 ET	human.marmo
1	L5 ET	human.marmo
3	L5 ET	human.marmo
0	L5 ET	human.marmo
0	L5 ET	human.marmo
0	L5 ET	human.marmo
3	L5 ET	human.marmo
2	L5 ET	human.marmo
3	L5 ET	human.marmo
1	L5 ET	human.marmo
0	L5 ET	human.marmo
3	L5 ET	human.marmo
2	L5 ET	human.marmo
3	L5 ET	human.marmo
1	L5 ET	human.marmo
3	L5 ET	human.marmo
3	L5 ET	human.marmo
2	L5 ET	human.marmo
1	L5 ET	human.marmo
2	L5 ET	human.marmo
2	L5 ET	human.marmo
0	L5 ET	human.marmo
0	L5 ET	human.marmo
2	L5 ET	human.marmo
1	L5 ET	human.marmo
1	L5 ET	human.marmo
2	L5 ET	human.marmo
0	L5 ET	human.marmo
2	L5 ET	human.marmo
