nleaves	celltype	comp
20	Pvalb	human.marmo
20	Pvalb	human.marmo
16	Pvalb	human.marmo
13	Pvalb	human.marmo
18	Pvalb	human.marmo
12	Pvalb	human.marmo
16	Pvalb	human.marmo
18	Pvalb	human.marmo
18	Pvalb	human.marmo
19	Pvalb	human.marmo
17	Pvalb	human.marmo
18	Pvalb	human.marmo
19	Pvalb	human.marmo
14	Pvalb	human.marmo
16	Pvalb	human.marmo
21	Pvalb	human.marmo
21	Pvalb	human.marmo
16	Pvalb	human.marmo
18	Pvalb	human.marmo
13	Pvalb	human.marmo
14	Pvalb	human.marmo
14	Pvalb	human.marmo
19	Pvalb	human.marmo
15	Pvalb	human.marmo
15	Pvalb	human.marmo
14	Pvalb	human.marmo
15	Pvalb	human.marmo
17	Pvalb	human.marmo
19	Pvalb	human.marmo
14	Pvalb	human.marmo
18	Pvalb	human.marmo
13	Pvalb	human.marmo
12	Pvalb	human.marmo
16	Pvalb	human.marmo
18	Pvalb	human.marmo
14	Pvalb	human.marmo
5	Sncg	human.marmo
5	Sncg	human.marmo
5	Sncg	human.marmo
4	Sncg	human.marmo
4	Sncg	human.marmo
4	Sncg	human.marmo
1	Sncg	human.marmo
4	Sncg	human.marmo
4	Sncg	human.marmo
5	Sncg	human.marmo
3	Sncg	human.marmo
3	Sncg	human.marmo
5	Sncg	human.marmo
5	Sncg	human.marmo
5	Sncg	human.marmo
4	Sncg	human.marmo
2	Sncg	human.marmo
5	Sncg	human.marmo
2	Sncg	human.marmo
1	Sncg	human.marmo
2	Sncg	human.marmo
4	Sncg	human.marmo
5	Sncg	human.marmo
4	Sncg	human.marmo
1	Sncg	human.marmo
2	Sncg	human.marmo
5	Sncg	human.marmo
3	Sncg	human.marmo
5	Sncg	human.marmo
3	Sncg	human.marmo
3	Sncg	human.marmo
2	Sncg	human.marmo
3	Sncg	human.marmo
4	Sncg	human.marmo
4	Sncg	human.marmo
4	Sncg	human.marmo
4	Sncg	human.marmo
2	Sncg	human.marmo
2	Sncg	human.marmo
2	Sncg	human.marmo
2	Sncg	human.marmo
5	Sncg	human.marmo
7	Sncg	human.marmo
4	Sncg	human.marmo
3	Sncg	human.marmo
5	Sncg	human.marmo
6	Sncg	human.marmo
5	Sncg	human.marmo
4	Sncg	human.marmo
2	Sncg	human.marmo
2	Sncg	human.marmo
2	Sncg	human.marmo
4	Sncg	human.marmo
2	Sncg	human.marmo
2	Sncg	human.marmo
4	Sncg	human.marmo
3	Sncg	human.marmo
1	Sncg	human.marmo
3	Sncg	human.marmo
4	Sncg	human.marmo
1	Sncg	human.marmo
9	Sncg	human.marmo
4	Sncg	human.marmo
2	Sncg	human.marmo
2	Sncg	human.marmo
3	Sncg	human.marmo
4	Sncg	human.marmo
2	Sncg	human.marmo
4	Sncg	human.marmo
3	Sncg	human.marmo
2	Sncg	human.marmo
2	Sncg	human.marmo
4	Sncg	human.marmo
1	Sncg	human.marmo
2	Sncg	human.marmo
3	Sncg	human.marmo
1	Sncg	human.marmo
3	Sncg	human.marmo
4	Sncg	human.marmo
2	Sncg	human.marmo
2	Sncg	human.marmo
5	Sncg	human.marmo
5	Sncg	human.marmo
5	Sncg	human.marmo
5	Sncg	human.marmo
6	Sncg	human.marmo
4	Sncg	human.marmo
6	Sncg	human.marmo
2	Sncg	human.marmo
2	Sncg	human.marmo
5	Sncg	human.marmo
0	Sncg	human.marmo
3	Sncg	human.marmo
3	Sncg	human.marmo
4	Sncg	human.marmo
5	Sncg	human.marmo
1	Sncg	human.marmo
0	Sncg	human.marmo
4	Sncg	human.marmo
4	Sncg	human.marmo
24	Sst	human.marmo
34	Sst	human.marmo
35	Sst	human.marmo
37	Sst	human.marmo
31	Sst	human.marmo
33	Sst	human.marmo
22	Sst	human.marmo
38	Sst	human.marmo
28	Sst	human.marmo
32	Sst	human.marmo
36	Sst	human.marmo
34	Sst	human.marmo
37	Sst	human.marmo
18	Sst	human.marmo
32	Sst	human.marmo
29	Sst	human.marmo
17	Sst	human.marmo
25	Sst	human.marmo
29	Sst	human.marmo
27	Sst	human.marmo
32	Sst	human.marmo
28	Sst	human.marmo
30	Sst	human.marmo
31	Sst	human.marmo
32	Sst	human.marmo
27	Sst	human.marmo
34	Sst	human.marmo
28	Sst	human.marmo
31	Sst	human.marmo
36	Sst	human.marmo
31	Sst	human.marmo
34	Sst	human.marmo
44	Sst	human.marmo
27	Sst	human.marmo
30	Sst	human.marmo
32	Sst	human.marmo
30	Sst	human.marmo
28	Sst	human.marmo
34	Sst	human.marmo
22	Sst	human.marmo
30	Sst	human.marmo
28	Sst	human.marmo
22	Sst	human.marmo
25	Sst	human.marmo
26	Sst	human.marmo
31	Sst	human.marmo
35	Sst	human.marmo
26	Sst	human.marmo
34	Sst	human.marmo
35	Sst	human.marmo
41	Sst	human.marmo
24	Sst	human.marmo
38	Sst	human.marmo
32	Sst	human.marmo
33	Sst	human.marmo
29	Sst	human.marmo
33	Sst	human.marmo
25	Sst	human.marmo
38	Sst	human.marmo
24	Sst	human.marmo
21	Sst	human.marmo
41	Sst	human.marmo
41	Sst	human.marmo
32	Sst	human.marmo
29	Sst	human.marmo
34	Sst	human.marmo
31	Sst	human.marmo
27	Sst	human.marmo
35	Sst	human.marmo
22	Sst	human.marmo
34	Sst	human.marmo
29	Sst	human.marmo
38	Sst	human.marmo
28	Sst	human.marmo
31	Sst	human.marmo
28	Sst	human.marmo
28	Sst	human.marmo
40	Sst	human.marmo
34	Sst	human.marmo
34	Sst	human.marmo
37	Sst	human.marmo
26	Sst	human.marmo
28	Sst	human.marmo
30	Sst	human.marmo
33	Sst	human.marmo
31	Sst	human.marmo
40	Sst	human.marmo
27	Sst	human.marmo
40	Sst	human.marmo
33	Sst	human.marmo
37	Sst	human.marmo
30	Sst	human.marmo
32	Sst	human.marmo
29	Sst	human.marmo
32	Sst	human.marmo
39	Sst	human.marmo
34	Sst	human.marmo
32	Sst	human.marmo
30	Sst	human.marmo
30	Sst	human.marmo
35	Vip	human.marmo
59	Vip	human.marmo
55	Vip	human.marmo
61	Vip	human.marmo
51	Vip	human.marmo
53	Vip	human.marmo
51	Vip	human.marmo
55	Vip	human.marmo
61	Vip	human.marmo
46	Vip	human.marmo
63	Vip	human.marmo
44	Vip	human.marmo
52	Vip	human.marmo
66	Vip	human.marmo
48	Vip	human.marmo
76	Vip	human.marmo
55	Vip	human.marmo
65	Vip	human.marmo
59	Vip	human.marmo
58	Vip	human.marmo
57	Vip	human.marmo
49	Vip	human.marmo
59	Vip	human.marmo
53	Vip	human.marmo
49	Vip	human.marmo
47	Vip	human.marmo
64	Vip	human.marmo
41	Vip	human.marmo
57	Vip	human.marmo
50	Vip	human.marmo
40	Vip	human.marmo
40	Vip	human.marmo
69	Vip	human.marmo
63	Vip	human.marmo
55	Vip	human.marmo
49	Vip	human.marmo
52	Vip	human.marmo
47	Vip	human.marmo
43	Vip	human.marmo
66	Vip	human.marmo
51	Vip	human.marmo
60	Vip	human.marmo
56	Vip	human.marmo
54	Vip	human.marmo
50	Vip	human.marmo
59	Vip	human.marmo
45	Vip	human.marmo
50	Vip	human.marmo
63	Vip	human.marmo
54	Vip	human.marmo
51	Vip	human.marmo
72	Vip	human.marmo
49	Vip	human.marmo
41	Vip	human.marmo
45	Vip	human.marmo
53	Vip	human.marmo
56	Vip	human.marmo
47	Vip	human.marmo
67	Vip	human.marmo
67	Vip	human.marmo
40	Vip	human.marmo
45	Vip	human.marmo
50	Vip	human.marmo
49	Vip	human.marmo
59	Vip	human.marmo
45	Vip	human.marmo
57	Vip	human.marmo
68	Vip	human.marmo
68	Vip	human.marmo
66	Vip	human.marmo
69	Vip	human.marmo
51	Vip	human.marmo
60	Vip	human.marmo
50	Vip	human.marmo
62	Vip	human.marmo
48	Vip	human.marmo
63	Vip	human.marmo
66	Vip	human.marmo
48	Vip	human.marmo
39	Vip	human.marmo
47	Vip	human.marmo
49	Vip	human.marmo
44	Vip	human.marmo
65	Vip	human.marmo
66	Vip	human.marmo
75	Vip	human.marmo
50	Vip	human.marmo
63	Vip	human.marmo
58	Vip	human.marmo
48	Vip	human.marmo
45	Vip	human.marmo
52	Vip	human.marmo
64	Vip	human.marmo
56	Vip	human.marmo
45	Vip	human.marmo
46	Vip	human.marmo
44	Vip	human.marmo
72	Vip	human.marmo
45	Vip	human.marmo
71	Vip	human.marmo
4	Lamp5	human.mouse
4	Lamp5	human.mouse
3	Lamp5	human.mouse
4	Lamp5	human.mouse
2	Lamp5	human.mouse
3	Lamp5	human.mouse
5	Lamp5	human.mouse
5	Lamp5	human.mouse
2	Lamp5	human.mouse
3	Lamp5	human.mouse
4	Lamp5	human.mouse
6	Lamp5	human.mouse
5	Lamp5	human.mouse
3	Lamp5	human.mouse
4	Lamp5	human.mouse
4	Lamp5	human.mouse
1	Lamp5	human.mouse
4	Lamp5	human.mouse
4	Lamp5	human.mouse
3	Lamp5	human.mouse
3	Lamp5	human.mouse
6	Lamp5	human.mouse
3	Lamp5	human.mouse
3	Lamp5	human.mouse
4	Lamp5	human.mouse
2	Lamp5	human.mouse
5	Lamp5	human.mouse
4	Lamp5	human.mouse
3	Lamp5	human.mouse
4	Lamp5	human.mouse
4	Lamp5	human.mouse
4	Lamp5	human.mouse
3	Lamp5	human.mouse
4	Lamp5	human.mouse
2	Lamp5	human.mouse
3	Lamp5	human.mouse
4	Lamp5	human.mouse
3	Lamp5	human.mouse
5	Lamp5	human.mouse
2	Lamp5	human.mouse
2	Lamp5	human.mouse
1	Lamp5	human.mouse
6	Lamp5	human.mouse
2	Lamp5	human.mouse
2	Lamp5	human.mouse
5	Lamp5	human.mouse
5	Lamp5	human.mouse
6	Lamp5	human.mouse
4	Lamp5	human.mouse
6	Lamp5	human.mouse
4	Lamp5	human.mouse
4	Lamp5	human.mouse
2	Lamp5	human.mouse
4	Lamp5	human.mouse
5	Lamp5	human.mouse
1	Lamp5	human.mouse
2	Lamp5	human.mouse
4	Lamp5	human.mouse
2	Lamp5	human.mouse
2	Lamp5	human.mouse
4	Lamp5	human.mouse
4	Lamp5	human.mouse
4	Lamp5	human.mouse
3	Lamp5	human.mouse
2	Lamp5	human.mouse
2	Lamp5	human.mouse
3	Lamp5	human.mouse
3	Lamp5	human.mouse
2	Lamp5	human.mouse
2	Lamp5	human.mouse
5	Lamp5	human.mouse
4	Lamp5	human.mouse
4	Lamp5	human.mouse
2	Lamp5	human.mouse
4	Lamp5	human.mouse
2	Lamp5	human.mouse
4	Lamp5	human.mouse
3	Lamp5	human.mouse
4	Lamp5	human.mouse
3	Lamp5	human.mouse
4	Lamp5	human.mouse
3	Lamp5	human.mouse
4	Lamp5	human.mouse
4	Lamp5	human.mouse
3	Lamp5	human.mouse
2	Lamp5	human.mouse
3	Lamp5	human.mouse
2	Lamp5	human.mouse
0	Lamp5	human.mouse
3	Lamp5	human.mouse
3	Lamp5	human.mouse
2	Lamp5	human.mouse
4	Lamp5	human.mouse
4	Lamp5	human.mouse
3	Lamp5	human.mouse
3	Lamp5	human.mouse
5	Lamp5	human.mouse
3	Lamp5	human.mouse
2	Lamp5	human.mouse
2	Lamp5	human.mouse
15	Pvalb	human.mouse
12	Pvalb	human.mouse
14	Pvalb	human.mouse
16	Pvalb	human.mouse
12	Pvalb	human.mouse
13	Pvalb	human.mouse
18	Pvalb	human.mouse
11	Pvalb	human.mouse
17	Pvalb	human.mouse
12	Pvalb	human.mouse
16	Pvalb	human.mouse
16	Pvalb	human.mouse
14	Pvalb	human.mouse
19	Pvalb	human.mouse
13	Pvalb	human.mouse
15	Pvalb	human.mouse
15	Pvalb	human.mouse
11	Pvalb	human.mouse
12	Pvalb	human.mouse
14	Pvalb	human.mouse
9	Pvalb	human.mouse
16	Pvalb	human.mouse
13	Pvalb	human.mouse
12	Pvalb	human.mouse
14	Pvalb	human.mouse
12	Pvalb	human.mouse
17	Pvalb	human.mouse
13	Pvalb	human.mouse
19	Pvalb	human.mouse
14	Pvalb	human.mouse
15	Pvalb	human.mouse
12	Pvalb	human.mouse
13	Pvalb	human.mouse
12	Pvalb	human.mouse
15	Pvalb	human.mouse
13	Pvalb	human.mouse
15	Pvalb	human.mouse
9	Pvalb	human.mouse
13	Pvalb	human.mouse
18	Pvalb	human.mouse
13	Pvalb	human.mouse
12	Pvalb	human.mouse
15	Pvalb	human.mouse
14	Pvalb	human.mouse
19	Pvalb	human.mouse
21	Pvalb	human.mouse
12	Pvalb	human.mouse
16	Pvalb	human.mouse
11	Pvalb	human.mouse
14	Pvalb	human.mouse
14	Pvalb	human.mouse
14	Pvalb	human.mouse
16	Pvalb	human.mouse
10	Pvalb	human.mouse
10	Pvalb	human.mouse
10	Pvalb	human.mouse
11	Pvalb	human.mouse
14	Pvalb	human.mouse
12	Pvalb	human.mouse
18	Pvalb	human.mouse
12	Pvalb	human.mouse
16	Pvalb	human.mouse
17	Pvalb	human.mouse
11	Pvalb	human.mouse
16	Pvalb	human.mouse
13	Pvalb	human.mouse
16	Pvalb	human.mouse
16	Pvalb	human.mouse
12	Pvalb	human.mouse
16	Pvalb	human.mouse
14	Pvalb	human.mouse
12	Pvalb	human.mouse
8	Pvalb	human.mouse
14	Pvalb	human.mouse
12	Pvalb	human.mouse
12	Pvalb	human.mouse
10	Pvalb	human.mouse
13	Pvalb	human.mouse
15	Pvalb	human.mouse
10	Pvalb	human.mouse
18	Pvalb	human.mouse
15	Pvalb	human.mouse
12	Pvalb	human.mouse
20	Pvalb	human.mouse
11	Pvalb	human.mouse
15	Pvalb	human.mouse
17	Pvalb	human.mouse
12	Pvalb	human.mouse
15	Pvalb	human.mouse
15	Pvalb	human.mouse
10	Pvalb	human.mouse
13	Pvalb	human.mouse
15	Pvalb	human.mouse
12	Pvalb	human.mouse
12	Pvalb	human.mouse
14	Pvalb	human.mouse
16	Pvalb	human.mouse
16	Pvalb	human.mouse
11	Pvalb	human.mouse
16	Pvalb	human.mouse
0	Sncg	human.mouse
4	Sncg	human.mouse
3	Sncg	human.mouse
4	Sncg	human.mouse
5	Sncg	human.mouse
2	Sncg	human.mouse
4	Sncg	human.mouse
7	Sncg	human.mouse
3	Sncg	human.mouse
5	Sncg	human.mouse
2	Sncg	human.mouse
2	Sncg	human.mouse
1	Sncg	human.mouse
2	Sncg	human.mouse
6	Sncg	human.mouse
0	Sncg	human.mouse
3	Sncg	human.mouse
4	Sncg	human.mouse
2	Sncg	human.mouse
2	Sncg	human.mouse
3	Sncg	human.mouse
3	Sncg	human.mouse
4	Sncg	human.mouse
5	Sncg	human.mouse
2	Sncg	human.mouse
5	Sncg	human.mouse
4	Sncg	human.mouse
4	Sncg	human.mouse
2	Sncg	human.mouse
2	Sncg	human.mouse
4	Sncg	human.mouse
3	Sncg	human.mouse
4	Sncg	human.mouse
2	Sncg	human.mouse
-1	Sncg	human.mouse
1	Sncg	human.mouse
1	Sncg	human.mouse
5	Sncg	human.mouse
4	Sncg	human.mouse
2	Sncg	human.mouse
0	Sncg	human.mouse
1	Sncg	human.mouse
1	Sncg	human.mouse
6	Sncg	human.mouse
1	Sncg	human.mouse
1	Sncg	human.mouse
3	Sncg	human.mouse
9	Sncg	human.mouse
5	Sncg	human.mouse
3	Sncg	human.mouse
6	Sncg	human.mouse
4	Sncg	human.mouse
1	Sncg	human.mouse
2	Sncg	human.mouse
5	Sncg	human.mouse
1	Sncg	human.mouse
3	Sncg	human.mouse
2	Sncg	human.mouse
3	Sncg	human.mouse
4	Sncg	human.mouse
4	Sncg	human.mouse
2	Sncg	human.mouse
6	Sncg	human.mouse
3	Sncg	human.mouse
2	Sncg	human.mouse
2	Sncg	human.mouse
6	Sncg	human.mouse
5	Sncg	human.mouse
3	Sncg	human.mouse
5	Sncg	human.mouse
0	Sncg	human.mouse
1	Sncg	human.mouse
2	Sncg	human.mouse
4	Sncg	human.mouse
6	Sncg	human.mouse
3	Sncg	human.mouse
1	Sncg	human.mouse
2	Sncg	human.mouse
2	Sncg	human.mouse
3	Sncg	human.mouse
4	Sncg	human.mouse
1	Sncg	human.mouse
2	Sncg	human.mouse
-1	Sncg	human.mouse
1	Sncg	human.mouse
3	Sncg	human.mouse
4	Sncg	human.mouse
3	Sncg	human.mouse
5	Sncg	human.mouse
1	Sncg	human.mouse
2	Sncg	human.mouse
2	Sncg	human.mouse
2	Sncg	human.mouse
2	Sncg	human.mouse
0	Sncg	human.mouse
3	Sncg	human.mouse
1	Sncg	human.mouse
1	Sncg	human.mouse
1	Sncg	human.mouse
5	Sncg	human.mouse
14	Sst	human.mouse
12	Sst	human.mouse
12	Sst	human.mouse
13	Sst	human.mouse
10	Sst	human.mouse
12	Sst	human.mouse
12	Sst	human.mouse
17	Sst	human.mouse
11	Sst	human.mouse
13	Sst	human.mouse
12	Sst	human.mouse
15	Sst	human.mouse
17	Sst	human.mouse
15	Sst	human.mouse
15	Sst	human.mouse
14	Sst	human.mouse
13	Sst	human.mouse
15	Sst	human.mouse
13	Sst	human.mouse
11	Sst	human.mouse
11	Sst	human.mouse
9	Sst	human.mouse
11	Sst	human.mouse
12	Sst	human.mouse
11	Sst	human.mouse
9	Sst	human.mouse
13	Sst	human.mouse
8	Sst	human.mouse
14	Sst	human.mouse
13	Sst	human.mouse
10	Sst	human.mouse
16	Sst	human.mouse
11	Sst	human.mouse
16	Sst	human.mouse
11	Sst	human.mouse
10	Sst	human.mouse
13	Sst	human.mouse
12	Sst	human.mouse
11	Sst	human.mouse
12	Sst	human.mouse
10	Sst	human.mouse
14	Sst	human.mouse
14	Sst	human.mouse
17	Sst	human.mouse
11	Sst	human.mouse
11	Sst	human.mouse
13	Sst	human.mouse
12	Sst	human.mouse
13	Sst	human.mouse
11	Sst	human.mouse
15	Sst	human.mouse
14	Sst	human.mouse
12	Sst	human.mouse
13	Sst	human.mouse
12	Sst	human.mouse
12	Sst	human.mouse
12	Sst	human.mouse
12	Sst	human.mouse
12	Sst	human.mouse
14	Sst	human.mouse
14	Sst	human.mouse
8	Sst	human.mouse
10	Sst	human.mouse
8	Sst	human.mouse
12	Sst	human.mouse
13	Sst	human.mouse
17	Sst	human.mouse
13	Sst	human.mouse
11	Sst	human.mouse
13	Sst	human.mouse
11	Sst	human.mouse
11	Sst	human.mouse
13	Sst	human.mouse
10	Sst	human.mouse
9	Sst	human.mouse
10	Sst	human.mouse
14	Sst	human.mouse
14	Sst	human.mouse
9	Sst	human.mouse
11	Sst	human.mouse
12	Sst	human.mouse
11	Sst	human.mouse
12	Sst	human.mouse
12	Sst	human.mouse
9	Sst	human.mouse
13	Sst	human.mouse
14	Sst	human.mouse
13	Sst	human.mouse
12	Sst	human.mouse
15	Sst	human.mouse
8	Sst	human.mouse
6	Sst	human.mouse
13	Sst	human.mouse
17	Sst	human.mouse
9	Sst	human.mouse
10	Sst	human.mouse
13	Sst	human.mouse
11	Sst	human.mouse
9	Sst	human.mouse
13	Sst	human.mouse
14	Vip	human.mouse
14	Vip	human.mouse
15	Vip	human.mouse
4	Vip	human.mouse
21	Vip	human.mouse
9	Vip	human.mouse
17	Vip	human.mouse
13	Vip	human.mouse
12	Vip	human.mouse
12	Vip	human.mouse
22	Vip	human.mouse
10	Vip	human.mouse
11	Vip	human.mouse
16	Vip	human.mouse
14	Vip	human.mouse
13	Vip	human.mouse
2	Vip	human.mouse
11	Vip	human.mouse
10	Vip	human.mouse
18	Vip	human.mouse
10	Vip	human.mouse
15	Vip	human.mouse
12	Vip	human.mouse
19	Vip	human.mouse
18	Vip	human.mouse
8	Vip	human.mouse
12	Vip	human.mouse
23	Vip	human.mouse
5	Vip	human.mouse
8	Vip	human.mouse
9	Vip	human.mouse
13	Vip	human.mouse
15	Vip	human.mouse
15	Vip	human.mouse
17	Vip	human.mouse
6	Vip	human.mouse
13	Vip	human.mouse
14	Vip	human.mouse
16	Vip	human.mouse
18	Vip	human.mouse
12	Vip	human.mouse
21	Vip	human.mouse
1	Vip	human.mouse
9	Vip	human.mouse
16	Vip	human.mouse
13	Vip	human.mouse
17	Vip	human.mouse
12	Vip	human.mouse
19	Vip	human.mouse
17	Vip	human.mouse
9	Vip	human.mouse
17	Vip	human.mouse
16	Vip	human.mouse
22	Vip	human.mouse
16	Vip	human.mouse
5	Vip	human.mouse
16	Vip	human.mouse
3	Vip	human.mouse
3	Vip	human.mouse
11	Vip	human.mouse
14	Vip	human.mouse
10	Vip	human.mouse
15	Vip	human.mouse
2	Vip	human.mouse
20	Vip	human.mouse
16	Vip	human.mouse
22	Vip	human.mouse
12	Vip	human.mouse
16	Vip	human.mouse
3	Vip	human.mouse
7	Vip	human.mouse
17	Vip	human.mouse
8	Vip	human.mouse
17	Vip	human.mouse
20	Vip	human.mouse
11	Vip	human.mouse
14	Vip	human.mouse
11	Vip	human.mouse
11	Vip	human.mouse
18	Vip	human.mouse
12	Vip	human.mouse
6	Vip	human.mouse
13	Vip	human.mouse
23	Vip	human.mouse
11	Vip	human.mouse
11	Vip	human.mouse
17	Vip	human.mouse
12	Vip	human.mouse
10	Vip	human.mouse
14	Vip	human.mouse
11	Vip	human.mouse
24	Vip	human.mouse
5	Vip	human.mouse
20	Vip	human.mouse
16	Vip	human.mouse
20	Vip	human.mouse
16	Vip	human.mouse
9	Vip	human.mouse
14	Vip	human.mouse
4	Vip	human.mouse
5	Lamp5	mouse.marmoset
2	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
3	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
3	Lamp5	mouse.marmoset
2	Lamp5	mouse.marmoset
3	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
5	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
3	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
5	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
1	Lamp5	mouse.marmoset
3	Lamp5	mouse.marmoset
3	Lamp5	mouse.marmoset
5	Lamp5	mouse.marmoset
3	Lamp5	mouse.marmoset
3	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
5	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
3	Lamp5	mouse.marmoset
5	Lamp5	mouse.marmoset
5	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
3	Lamp5	mouse.marmoset
3	Lamp5	mouse.marmoset
3	Lamp5	mouse.marmoset
3	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
3	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
1	Lamp5	mouse.marmoset
3	Lamp5	mouse.marmoset
2	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
5	Lamp5	mouse.marmoset
1	Lamp5	mouse.marmoset
5	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
4	Lamp5	mouse.marmoset
5	Lamp5	mouse.marmoset
3	Lamp5	mouse.marmoset
