nleaves	celltype	comp
15	Lamp5	human.marmo
12	Lamp5	human.marmo
14	Lamp5	human.marmo
10	Lamp5	human.marmo
15	Lamp5	human.marmo
10	Lamp5	human.marmo
11	Lamp5	human.marmo
13	Lamp5	human.marmo
11	Lamp5	human.marmo
14	Lamp5	human.marmo
11	Lamp5	human.marmo
13	Lamp5	human.marmo
12	Lamp5	human.marmo
11	Lamp5	human.marmo
9	Lamp5	human.marmo
15	Lamp5	human.marmo
14	Lamp5	human.marmo
15	Lamp5	human.marmo
12	Lamp5	human.marmo
12	Lamp5	human.marmo
11	Lamp5	human.marmo
11	Lamp5	human.marmo
17	Lamp5	human.marmo
10	Lamp5	human.marmo
12	Lamp5	human.marmo
13	Lamp5	human.marmo
13	Lamp5	human.marmo
12	Lamp5	human.marmo
15	Lamp5	human.marmo
13	Lamp5	human.marmo
13	Lamp5	human.marmo
9	Lamp5	human.marmo
10	Lamp5	human.marmo
15	Lamp5	human.marmo
13	Lamp5	human.marmo
15	Lamp5	human.marmo
14	Lamp5	human.marmo
14	Lamp5	human.marmo
14	Lamp5	human.marmo
14	Lamp5	human.marmo
11	Lamp5	human.marmo
13	Lamp5	human.marmo
13	Lamp5	human.marmo
13	Lamp5	human.marmo
11	Lamp5	human.marmo
16	Lamp5	human.marmo
14	Lamp5	human.marmo
15	Lamp5	human.marmo
10	Lamp5	human.marmo
13	Lamp5	human.marmo
11	Lamp5	human.marmo
11	Lamp5	human.marmo
16	Lamp5	human.marmo
10	Lamp5	human.marmo
11	Lamp5	human.marmo
13	Lamp5	human.marmo
12	Lamp5	human.marmo
12	Lamp5	human.marmo
13	Lamp5	human.marmo
11	Lamp5	human.marmo
12	Lamp5	human.marmo
13	Lamp5	human.marmo
14	Lamp5	human.marmo
13	Lamp5	human.marmo
12	Lamp5	human.marmo
12	Lamp5	human.marmo
9	Lamp5	human.marmo
12	Lamp5	human.marmo
13	Lamp5	human.marmo
10	Lamp5	human.marmo
10	Lamp5	human.marmo
13	Lamp5	human.marmo
10	Lamp5	human.marmo
14	Lamp5	human.marmo
13	Lamp5	human.marmo
12	Lamp5	human.marmo
11	Lamp5	human.marmo
17	Lamp5	human.marmo
12	Lamp5	human.marmo
14	Lamp5	human.marmo
6	Lamp5	human.marmo
12	Lamp5	human.marmo
10	Lamp5	human.marmo
11	Lamp5	human.marmo
10	Lamp5	human.marmo
12	Lamp5	human.marmo
8	Lamp5	human.marmo
10	Lamp5	human.marmo
11	Lamp5	human.marmo
12	Lamp5	human.marmo
14	Lamp5	human.marmo
14	Lamp5	human.marmo
12	Lamp5	human.marmo
9	Lamp5	human.marmo
15	Lamp5	human.marmo
13	Lamp5	human.marmo
14	Lamp5	human.marmo
11	Lamp5	human.marmo
10	Lamp5	human.marmo
11	Lamp5	human.marmo
16	Pvalb	human.marmo
19	Pvalb	human.marmo
14	Pvalb	human.marmo
20	Pvalb	human.marmo
14	Pvalb	human.marmo
18	Pvalb	human.marmo
17	Pvalb	human.marmo
19	Pvalb	human.marmo
19	Pvalb	human.marmo
13	Pvalb	human.marmo
17	Pvalb	human.marmo
17	Pvalb	human.marmo
16	Pvalb	human.marmo
18	Pvalb	human.marmo
18	Pvalb	human.marmo
13	Pvalb	human.marmo
16	Pvalb	human.marmo
15	Pvalb	human.marmo
14	Pvalb	human.marmo
24	Pvalb	human.marmo
19	Pvalb	human.marmo
20	Pvalb	human.marmo
16	Pvalb	human.marmo
16	Pvalb	human.marmo
15	Pvalb	human.marmo
19	Pvalb	human.marmo
13	Pvalb	human.marmo
14	Pvalb	human.marmo
16	Pvalb	human.marmo
20	Pvalb	human.marmo
16	Pvalb	human.marmo
16	Pvalb	human.marmo
20	Pvalb	human.marmo
17	Pvalb	human.marmo
16	Pvalb	human.marmo
19	Pvalb	human.marmo
16	Pvalb	human.marmo
20	Pvalb	human.marmo
16	Pvalb	human.marmo
19	Pvalb	human.marmo
16	Pvalb	human.marmo
16	Pvalb	human.marmo
17	Pvalb	human.marmo
20	Pvalb	human.marmo
17	Pvalb	human.marmo
16	Pvalb	human.marmo
16	Pvalb	human.marmo
17	Pvalb	human.marmo
15	Pvalb	human.marmo
15	Pvalb	human.marmo
17	Pvalb	human.marmo
14	Pvalb	human.marmo
14	Pvalb	human.marmo
12	Pvalb	human.marmo
21	Pvalb	human.marmo
18	Pvalb	human.marmo
16	Pvalb	human.marmo
16	Pvalb	human.marmo
14	Pvalb	human.marmo
15	Pvalb	human.marmo
13	Pvalb	human.marmo
13	Pvalb	human.marmo
17	Pvalb	human.marmo
20	Pvalb	human.marmo
