tree_order,Zizen's new cluster_ids,cluster_id,cluster_label,cluster_color,cluster_size,class,class_color,subclass,subclass_color,level2,level2_color,level3,level3_color,integrated,integrated_color,integrated_FINAL,integrated_FINAL_color,integrated_alias,DNAm_cluster_id,DNAm_cluster_name,old_DNAm_cluster_id,old_remap?,old_new cluster?,DNAm_cluster_label,DNAm_cluster_color,ATAC_cluster_id,ATAC_cluster_label,ATAC_cluster_color,VISp_ALM_best_match,Notes
11,11,11,Sncg Calb1_1,#9611B6,85,GABAergic,#C95170,Sncg,#D633FF,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_26,#9611B6,Sncg_3,#AC29CE,,3,CGE-VipNdnf_Vip-Unc5b,CGE-VipNdnf_Vip-Unc5b,,,Sncg Frem1,#7E0ACB,Sncg,Sncg,#7E0ACB,Sncg Gpr50,
12,12,12,Sncg Calb1_2,#9900B3,37,GABAergic,#C95170,Sncg,#D633FF,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_26,#9611B6,Sncg_3,#AC29CE,,3,CGE-VipNdnf_Vip-Unc5b,CGE-VipNdnf_Vip-Unc5b,,,Sncg Frem1,#7E0ACB,Sncg,Sncg,#7E0ACB,Sncg Gpr50,
13,13,13,Sncg Npy2r,#7A0099,151,GABAergic,#C95170,Sncg,#D633FF,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_26,#9611B6,Sncg_3,#AC29CE,,3,CGE-VipNdnf_Vip-Unc5b,CGE-VipNdnf_Vip-Unc5b,,,Sncg Frem1,#7E0ACB,Sncg,Sncg,#7E0ACB,Sncg Vip Nptx2,
14,14,14,Vip Sncg,#AA4DB5,81,GABAergic,#C95170,Sncg,#D633FF,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_14,#FF88AD,Sncg_1,#DE5EFF,,3,CGE-VipNdnf_Vip-Unc5b,CGE-VipNdnf_Vip-Unc5b,,,Sncg Frem1,#7E0ACB,Sncg,Sncg,#7E0ACB,Vip Col15a1 Pde1a,
15,15,15,Vip Serpinf1_1,#A720FF,40,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_27,#A720FF,Vip_3,#B865CC,,4,CGE-VipNdnf_Vip-Ano4,CGE-VipNdnf_Vip-Ano4,,,Vip Wnt5b,#A720FF,Vip_Hcls1,Vip Hcls1,#A720FF,Vip Lmo1 Fam159b,
16,16,16,Vip Serpinf1_2,#AB1DFF,135,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_34,#7E0ACB,Sncg_1,#DE5EFF,,5,CGE-VipNdnf_Vip-Sorcs1,CGE-VipNdnf_Vip-Sorcs1,,,Vip Tac2,#AB1DFF,Vip_Hcls1,Vip Hcls1,#A720FF,Serpinf1 Clrn1,
17,17,17,Vip Serpinf1_3,#FF5FCD,41,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_34,#7E0ACB,Vip_2,#C784D6,,5,CGE-VipNdnf_Vip-Sorcs1,CGE-VipNdnf_Lamp5-Unc5d,CGE-VipNdnf_Vip-Sorcs1,,Vip Tac2,#AB1DFF,Vip_Hcls1,Vip Hcls1,#A720FF,Serpinf1 Aqp5 Vip,
18,18,18,Vip Htr1f,#FF4DC1,339,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_18,#FF4DC1,Vip_2,#C784D6,,5,CGE-VipNdnf_Vip-Sorcs1,CGE-VipNdnf_Vip-Sorcs1,,,Vip Tac2,#AB1DFF,Vip_Hcls1,Vip Hcls1,#A720FF,Vip Chat Htr1f,
19,19,19,Vip Gpc3,#B09FFF,229,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_27,#A720FF,Vip_3,#B865CC,,6,CGE-VipNdnf_Vip-Prr16,CGE-VipNdnf_Vip-Prr16,,,Vip Crh,#B09FFF,Vip_Lipg,Vip Lipg,#B09FFF,Vip Gpc3 Slc18a3; Vip Arhgap36 Hmcn1,
20,20,20,Vip C1ql1,#BD3D9A,284,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_22,#BD3D9A,Vip_2,#C784D6,,6,CGE-VipNdnf_Vip-Prr16,CGE-VipNdnf_Vip-Prr16,,,Vip Crh,#B09FFF,Vip_Lipg,Vip Lipg,#B09FFF,Vip Pygm C1ql1,
