tree_order,cluster_id,cluster_label,cluster_color,cluster_size,class,class_color,subclass,subclass_color,level2,level2_color,level3,level3_color,integrated,integrated_color,integrated_FINAL,integrated_FINAL_color,integrated_alias,DNAm_cluster_id,DNAm_cluster_name,old_DNAm_cluster_id,old_remap?,old_new cluster?,DNAm_cluster_label,DNAm_cluster_color,ATAC_cluster_id,ATAC_cluster_label,ATAC_cluster_color,Notes,old_order,old_cluster_color
55,55,Exc RORB SERPINE2,#cfce32,1031,Glutamatergic,#3EA185,L2/3 IT,#C4EC04,IT projecting,#3ECB88,IT projecting,#3ECB88,E_3,#07D945,L2/3 IT,#C4EC04,,16,Exc_SupIT_MEIS2,,Exc_SupIT_RCSD1_FAM155A,,Exc RORB LOC108588466,#7cae24,7,Exc RORB NDST3,#93d92b,,34,#7F490F
56,56,Exc RORB NDST3,#c7ff28,4037,Glutamatergic,#3EA185,L2/3 IT,#C4EC04,IT projecting,#3ECB88,IT projecting,#3ECB88,E_3,#07D945,L2/3 IT,#C4EC04,,16,Exc_SupIT_MEIS2,Exc_Deep_OLFML2B,,,Exc RORB LOC108588466,#7cae24,7,Exc RORB NDST3,#93d92b,,19,#FEBC35
70,70,Exc THEMIS ARL13B,#0D5D7E,425,Glutamatergic,#3EA185,L5 ET,#0D5B78,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_16,#6eeee3,L5 ET_1,#407D94,,25,Exc_PT_BCL6,Exc_DeepIT_KIF13A,,,Exc FEZF2 PIEZO2,#0D5D7E,16,Exc FEZF2 PIEZO2,#0D5D7E,L5 ET (Betz),44,#FDBA31
71,71,Exc FEZF2 PIEZO2,#0A75B1,337,Glutamatergic,#3EA185,L5 ET,#0D5B78,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_4,#0B77A5,L5 ET_1,#407D94,L5 ET (Betz),25,Exc_PT_BCL6,Exc_DeepIT_KIF13A,,,Exc FEZF2 PIEZO2,#0D5D7E,16,Exc FEZF2 PIEZO2,#0D5D7E,,6,#FDBA31
72,72,Exc FEZF2 PDZRN4,#0B77A5,158,Glutamatergic,#3EA185,L5 ET,#0D5B78,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_4,#0B77A5,L5 ET_2,#0F5C79,L5 ET (Betz),25,Exc_PT_BCL6,Exc_DeepIT_KIF13A,,,Exc FEZF2 PIEZO2,#0D5D7E,16,Exc FEZF2 PIEZO2,#0D5D7E,,28,#FFBC34
57,57,Exc RORB KNL1,#8cbcb4,396,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_5,#09CCC6,L5 IT_1,#75C2BE,,19,Exc_DeepIT_OPRK1,Exc_SupIT_RCSD1,,,Exc THEMIS HS3ST5,#8cbcb4,NA,NA,NA,,11,#BA2D12
58,58,Exc RORB CAV3,#6eeee3,450,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_16,#6eeee3,L5 IT_1,#75C2BE,,19,Exc_DeepIT_OPRK1,Exc_SupIT_RCSD1,,,Exc THEMIS HS3ST5,#8cbcb4,9,Exc THEMIS HS3ST5,#6eeee3,,3,#BA2D12
61,61,Exc RORB LOC108593203,#00bbc0,2104,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_10,#52B8AA,L5 IT_1,#75C2BE,,20,Exc_SupIT_CUX2_RORB,Exc_SupIT_CUX2_RORB,,,Exc RORB LOC108593203,#00bbc0,10,Exc RORB LOC108593203,#00bbc0,,20,#BA2D12
62,62,Exc RORB ANKRD27,#507975,4037,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_5,#09CCC6,L5 IT_1,#75C2BE,,18,Exc_SupIT_CUX2_MAST4,Exc_DeepIT_OPRK1,,,Exc RORB ANTXR2,#507975,11,Exc RORB ANKRD27,#507975,,2,#E62A5D
63,63,Exc RORB ACTA2,#8ee5e8,1664,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_19,#1AAB99,L5 IT_1,#75C2BE,,20,Exc_SupIT_CUX2_RORB,Exc_SupIT_MEIS2,,,Exc RORB LOC108593203,#00bbc0,12,Exc RORB DCC,#8ee5e8,,1,#E62A5D
64,64,Exc RORB USH1C,#48a4a8,2716,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_5,#09CCC6,L5 IT_1,#75C2BE,,18,Exc_SupIT_CUX2_MAST4,Exc_SupIT_CUX2_RORB,,,Exc RORB ANTXR2,#507975,13,Exc RORB USH1C,#48a4a8,,10,#BC2B11
66,66,Exc RORB PPA2,#9ad5cb,1137,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_14,#58D2C1,L5 IT_2,#51B2AD,,22,Exc_SupIT_RCSD1_IL1RAP,Exc_SupIT_CUX2_MAST4,,,Exc RORB TLL1,#9ad5cb,14,Exc RORB TLL1,#9ad5cb,,26,#FF554D
67,67,Exc RORB CHGA,#7baaac,2049,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_20,#7baaac,L5 IT_2,#51B2AD,,22,Exc_SupIT_RCSD1_IL1RAP,Exc_SupIT_CUX2_MAST4,,,Exc RORB TLL1,#9ad5cb,14,Exc RORB TLL1,#9ad5cb,,29,#BC2B11
68,68,Exc RORB HACL1,#48cbb9,1857,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_8,#4A9F93,L5 IT_2,#51B2AD,,23,Exc_SupIT_RCSD1_FAM155A,Exc_SupIT_CUX2_MAST4,,,Exc RORB PCED1B,#48cbb9,15,Exc RORB HACL1,#48cbb9,,33,#BB2D10
65,65,Exc RORB SLC38A11,#00aba5,917,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_15,#97c3c4,L5 IT_3,#408F8B,,21,Exc_SupIT_RCSD1_MTCL1,Exc_SupIT_CUX2_MAST4,,,Exc RORB PAPSS2,#00aba5,12,Exc RORB DCC,#8ee5e8,,4,#9900B3
77,77,Exc FEZF2 CRYM,#3E9E64,1011,Glutamatergic,#3EA185,L5/6 NP,#3E9E64,Non-IT projecting,#3ECB88,Non-IT projecting,#3ECB88,E_2,#48CB80,L5/6 NP,#3E9E64,,31,Exc_NP_TSHZ2_CD44_PTCHD4,Exc_PT_BCL6,,,Exc FEZF2 TSHZ2,#3E9E64,20,Exc FEZF2 CRYM,#3E9E64,,7,#BB2D10
73,73,Exc FEZF2 RGS4,#5c7f98,1809,Glutamatergic,#3EA185,L6 CT,#2D8CB8,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_1,#338C5E,L6 CT_1,#59A4C7,,26,Exc_Deep_SYT6_SLC44A1,Exc_NP_TSHZ2_PTCHD4,,,Exc FEZF2 BMP5,#5c7f98,17,Exc FEZF2 NRP1,#5c7f98,,13,#FF554D
74,74,Exc FEZF2 NRP1,#3ec5fd,1195,Glutamatergic,#3EA185,L6 CT,#2D8CB8,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_7,#168577,L6 CT_2,#2F8DB8,,27,Exc_Deep_SYT6_ADCY8_QKI,Exc_NP_TSHZ2_PTCHD4,,,Exc FEZF2 NRP1,#3ec5fd,17,Exc FEZF2 NRP1,#5c7f98,,35,#FFBA34
60,60,Exc THEMIS COBL,#cdce31,809,Glutamatergic,#3EA185,L6 IT,#A19922,IT projecting,#3ECB88,IT projecting,#3ECB88,E_6,#B2AD23,L6 IT_1,#B4AE50,,19,Exc_DeepIT_OPRK1,Exc_Deep_SYT6,,,Exc THEMIS HS3ST5,#8cbcb4,9,Exc THEMIS HS3ST5,#6eeee3,,12,#9440F3
59,59,Exc THEMIS KCTD16,#c9cc77,2788,Glutamatergic,#3EA185,L6 IT,#A19922,IT projecting,#3ECB88,IT projecting,#3ECB88,E_17,#52B4B8,L6 IT_2,#A19A24,,19,Exc_DeepIT_OPRK1,Exc_Deep_SYT6,,,Exc THEMIS HS3ST5,#8cbcb4,9,Exc THEMIS HS3ST5,#6eeee3,,21,#992E81
76,76,Exc THEMIS NTNG2,#5100FF,728,Glutamatergic,#3EA185,L6 IT Car3,#5100FF,IT projecting,#3ECB88,IT projecting,#3ECB88,E_21,#5100FF,L6 IT_3,#827B1B,,30,Exc_DeepIT_KIF13A,Exc_SupIT_RCSD1_MTCL1,,,Exc THEMIS CENPP,#5100FF,19,Exc THEMIS NTNG2,#5100FF,,23,#992E81
75,75,Exc FEZF2 ARSJ,#53377D,890,Glutamatergic,#3EA185,L6b,#53377D,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_11,#464576,L6b,#53377D,,29,Exc_Deep_OLFML2B_SLC4A4,,,L6b,Exc FEZF2 ARSJ,#53377D,18,Exc FEZF2 ARSJ,#53377D,,40,#FF00B5
3,3,Inh LAMP5 TOX2,#a75052,93,GABAergic,#C95170,Lamp5,#DA808C,CGE/PoA,#C456AA,Lamp5/Other,#E37B97,I_23,#FF8C97,Lamp5_1,#E9B4BB,,1,Inh_CGE_NDNF_RELN,Inh_CGE_VIP_CA10,,Lamp5,Inh LAMP5 COL5A2,#bf5474,1,Inh LAMP5 KIT,#bf5474,,49,#FE00B3
5,5,Inh LAMP5 WWP1,#aa6d6c,276,GABAergic,#C95170,Lamp5,#DA808C,CGE/PoA,#C456AA,Lamp5/Other,#E37B97,I_4,#FFA388,Lamp5_2,#E19AA4,Rosehip,3,Inh_CGE_NDNF_NTNG1,Inh_MGE_PVALB_PCDH17,,,Inh LAMP5 PBX3,#aa6d6c,1,Inh LAMP5 KIT,#bf5474,,51,#FE00B3
6,6,Inh LAMP5 LOC108591196,#e2a9af,435,GABAergic,#C95170,Lamp5,#DA808C,CGE/PoA,#C456AA,Lamp5/Other,#E37B97,I_4,#FFA388,Lamp5_2,#E19AA4,Rosehip,3,Inh_CGE_NDNF_NTNG1,Inh_MGE_PVALB_PCDH17,,,Inh LAMP5 PBX3,#aa6d6c,1,Inh LAMP5 KIT,#bf5474,,46,#FF00FF
4,4,Inh LAMP5 TRPC6,#ffa0a8,280,GABAergic,#C95170,Lamp5,#DA808C,CGE/PoA,#C456AA,Lamp5/Other,#E37B97,I_15,#C77963,Lamp5_3,#DA818D,Lamp5 Lhx6,2,Inh_CGEMGE_MYT1,Inh_MGE_PVALB_PCDH17,,,Inh LAMP5 CTTNBP2,#ffa0a8,1,Inh LAMP5 KIT,#bf5474,,43,#FF00FF
7,7,Inh PAX6 HMBOX1,#f1757c,229,GABAergic,#C95170,Lamp5,#DA808C,CGE/PoA,#C456AA,Lamp5/Other,#E37B97,I_24,#DDACC9,Lamp5_4,#B06771,,4,Inh_CGE_VIP_CELF4,Inh_CGE_NDNF_RELN,,,Inh GAD1 ZC4H2,#f1757c,2,Inh GAD1 THSD7B,#f1757c,,39,#FF00FF
2,2,Inh LAMP5 COL5A2,#bf5474,161,GABAergic,#C95170,Lamp5,#DA808C,CGE/PoA,#C456AA,Lamp5/Other,#E37B97,I_12,#F08E98,Lamp5_5,#844D54,,1,Inh_CGE_NDNF_RELN,Inh_CGE_VIP_CA10,,Lamp5,Inh LAMP5 COL5A2,#bf5474,1,Inh LAMP5 KIT,#bf5474,,42,#B09FFF
94,94,Micro TYROBP LOC103788313,#94AF97,1065,Non-neuronal,#6D7A67,Micro-PVM,#94AF97,Micro-PVM,#598069,Micro-PVM,#598069,N_4,#6E7C6F,Microglia/PVM,#94AF97,,24,NonN_MGC,NonN_ODC,,,Glia SLC1A3 LOC103788313,#387567,24,Glia SLC1A3 FLT1,#b88064,,48,#B09FFF
26,26,Inh PAX6 MEIS2,#FF0000,20,GABAergic,#C95170,Meis2,#FF0000,CGE/PoA,#C456AA,Lamp5/Other,#E37B97,I_28,#C60C0F,NA,NA,,4,Inh_CGE_VIP_CELF4,Inh_CGEMGE_UNC5B,,,Inh GAD1 ZC4H2,#f1757c,3,Inh VIP LOC103791740,#9047cc,,84,#99776A
69,69,Oligo SLC1A3 LOC103793418,#387567,161,Non-neuronal,#6D7A67,Oligo,#2E3E39,Oligo-OPC,#598077,Oligo-OPC,#598077,N_11,#332F26,NA,NA,Peri-neuronal oligo?,24,NonN_MGC,NonN_ODC,,,Glia SLC1A3 LOC103788313,#387567,23,Oligo OPALIN ST18,#387567,,5,#9900B3
88,88,Peri SLC1A3 CHST3,#ab7f62,163,Non-neuronal,#6D7A67,Peri,#665547,Other NN,#99796B,Other NN,#99796B,N_9,#A6906F,NA,NA,,33,NonN_Mix1,NonN_ODC,,,Glia OPALIN ST18,#0a3324,24,Glia SLC1A3 FLT1,#b88064,,45,#9900B3
89,89,Peri SLC1A3 EPSTI1,#3a2a14,212,Non-neuronal,#6D7A67,Peri,#665547,Other NN,#99796B,Other NN,#99796B,N_9,#A6906F,NA,NA,,33,NonN_Mix1,NonN_ODC,,,Glia OPALIN ST18,#0a3324,24,Glia SLC1A3 FLT1,#b88064,,50,#FF7290
93,93,VLMC SLC1A3 SLC47A1,#4f513f,224,Non-neuronal,#6D7A67,VLMC,#697255,Other NN,#99796B,Other NN,#99796B,N_8,#535946,NA,NA,,33,NonN_Mix1,NonN_MGC,,,Glia OPALIN ST18,#0a3324,24,Glia SLC1A3 FLT1,#b88064,,31,#FF7290
84,84,Oligo OPALIN MOBP,#357567,2162,Non-neuronal,#6D7A67,Oligo,#2E3E39,Oligo-OPC,#598077,Oligo-OPC,#598077,N_1,#474662,Oligo_1,#5A6662,,33,NonN_Mix1,NonN_ODC,,,Glia OPALIN ST18,#0a3324,23,Oligo OPALIN ST18,#387567,,47,#9440F3
83,83,Oligo OPALIN LOC103790018,#0a3324,5857,Non-neuronal,#6D7A67,Oligo,#2E3E39,Oligo-OPC,#598077,Oligo-OPC,#598077,N_1,#474662,Oligo_2,#303F3A,,33,NonN_Mix1,NonN_ODC,,,Glia OPALIN ST18,#0a3324,23,Oligo OPALIN ST18,#387567,,8,#FFBC35
78,78,OPC PDGFRA VCAN,#446e5c,2256,Non-neuronal,#6D7A67,OPC,#486159,Oligo-OPC,#598077,Oligo-OPC,#598077,N_5,#2E3E39,OPC,#486159,,33,NonN_ODC,NonN_MGC,,,Glia OPALIN ST18,#446e5c,21,OPC PDGFRA VCAN,#446e5c,,95,#00FF00
41,41,Inh PVALB OTOGL,#b3361d,134,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_21,#E62A5D,Pvalb_1,#E15C61,,10,Inh_MGE_PVALB_PCDH17,Inh_CGE_VIP_SMOC1,,,Inh PVALB CDON,#b3361d,5,Inh PVALB MYO5B,#b3361d,,16,#FFBC35
42,42,Inh PVALB LOC103790362,#bf3c40,447,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_3,#9C4165,Pvalb_1,#E15C61,,13,Inh_MGE_PVALB_B3GLCT,Inh_CGE_VIP_B3GLCT,,,Inh PVALB IGF2BP2,#bf3c40,5,Inh PVALB MYO5B,#b3361d,,24,#FEBC35
43,43,Inh PVALB OSBP2,#ff5161,245,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_3,#9C4165,Pvalb_1,#E15C61,,13,Inh_MGE_PVALB_B3GLCT,Inh_CGE_VIP,,,Inh PVALB IGF2BP2,#bf3c40,5,Inh PVALB MYO5B,#b3361d,,27,#FFBA34
44,44,Inh PVALB LOC103789439,#f55433,162,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_3,#9C4165,Pvalb_1,#E15C61,,13,Inh_MGE_PVALB_B3GLCT,Inh_CGE_VIP,,,Inh PVALB IGF2BP2,#bf3c40,5,Inh PVALB MYO5B,#b3361d,,52,#7F470F
45,45,Inh PVALB GSTK1,#f6785d,113,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_9,#C05661,Pvalb_1,#E15C61,,10,Inh_MGE_PVALB_PCDH17,,Inh_CGE_VIP_NKAIN1,,Inh PVALB CDON,#b3361d,5,Inh PVALB MYO5B,#b3361d,,14,#9900B3
46,46,Inh PVALB C8H7orf62,#f76c6f,265,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_9,#C05661,Pvalb_1,#E15C61,,10,Inh_MGE_PVALB_PCDH17,Inh_CGE_VIP_NKAIN1,,,Inh PVALB CDON,#b3361d,5,Inh PVALB MYO5B,#b3361d,,77,#79E7AA
48,48,Inh PVALB ADAMTS3,#ed2523,490,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_5,#B6411E,Pvalb_1,#E15C61,,14,Inh_MGE_PVALB_KIRREL3,Inh_MGE_PVALB_B3GLCT,,,Inh PVALB EYS,#ed2523,5,Inh PVALB MYO5B,#b3361d,,80,#997969
49,49,Inh PVALB SST EYS,#be001e,224,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_5,#B6411E,Pvalb_1,#E15C61,,14,Inh_MGE_PVALB_KIRREL3,Inh_MGE_PVALB_B3GLCT,,,Inh PVALB EYS,#ed2523,5,Inh PVALB MYO5B,#b3361d,,76,#0094C4
50,50,Inh PVALB PCDH19,#d8003d,76,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_5,#B6411E,Pvalb_1,#E15C61,,14,Inh_MGE_PVALB_KIRREL3,Inh_MGE_PVALB_B3GLCT,,,Inh PVALB EYS,#ed2523,5,Inh PVALB MYO5B,#b3361d,,74,#0195C1
51,51,Inh PVALB KLHL29,#b20536,104,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_35,#d5314c,Pvalb_2,#D93339,,10,Inh_MGE_PVALB_PCDH17,Inh_CGE_VIP_SMOC1,,,Inh PVALB CDON,#b3361d,5,Inh PVALB MYO5B,#b3361d,,79,#7BE5AA
9,9,Inh PAX6 ANKRD6,#c200c9,63,GABAergic,#C95170,Sncg,#D633FF,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_34,#7E0ACB,Sncg_1,#DE5EFF,,4,Inh_CGE_VIP_CELF4,Inh_CGE_VIP_CELF4,,,Inh GAD1 ZC4H2,#f1757c,2,Inh GAD1 THSD7B,#f1757c,,67,#008F1F
12,12,Inh PAX6 CDH4,#9046ba,61,GABAergic,#C95170,Sncg,#D633FF,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_14,#FF88AD,Sncg_1,#DE5EFF,,4,Inh_CGE_VIP_CELF4,Inh_MGE_SST_CSMD2,Inh_CGE_VIP_CA10,,Inh GAD1 ZC4H2,#f1757c,2,Inh GAD1 THSD7B,#f1757c,,69,#00A609
8,8,Inh SNCG PLPPR1,#8d4cda,113,GABAergic,#C95170,Sncg,#D633FF,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_26,#9611B6,Sncg_2,#D635FF,,4,Inh_CGE_VIP_CELF4,Inh_CGE_VIP_CELF4,,,Inh GAD1 ZC4H2,#f1757c,2,Inh GAD1 THSD7B,#f1757c,,71,#00AA0A
10,10,Inh VIP CYP19A1,#a11397,49,GABAergic,#C95170,Sncg,#D633FF,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_26,#9611B6,Sncg_3,#AC29CE,,4,Inh_CGE_VIP_CELF4,Inh_CGE_VIP_CELF4,,,Inh GAD1 ZC4H2,#f1757c,2,Inh GAD1 THSD7B,#f1757c,,82,#9A796A
11,11,Inh SNCG CNTN4,#e557d7,49,GABAergic,#C95170,Sncg,#D633FF,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_26,#9611B6,Sncg_3,#AC29CE,,4,Inh_CGE_VIP_CELF4,,Inh_CGE_VIP_CELF4,,Inh GAD1 ZC4H2,#f1757c,2,Inh GAD1 THSD7B,#f1757c,,83,#6B8059
13,13,Inh GAD1 PCP4,#b67af7,295,GABAergic,#C95170,Sncg,#D633FF,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_14,#FF88AD,Sncg_4,#811E9A,,5,Inh_CGE_VIP_PTPRM,Inh_MGE_SST_CSMD2,Inh_CGE_VIP_CA10,,Inh GAD1 THSD7B,#b67af7,2,Inh GAD1 THSD7B,#f1757c,,86,#665B46
14,14,Inh GAD1 LOC108589948,#881fa8,332,GABAergic,#C95170,Sncg,#D633FF,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_31,#c100c7,Sncg_4,#811E9A,,5,Inh_CGE_VIP_PTPRM,Inh_CGE_VIP_CA10,,,Inh GAD1 THSD7B,#b67af7,2,Inh GAD1 THSD7B,#f1757c,,85,#685C48
1,1,Inh SST NPY,#FFEA00,19,GABAergic,#C95170,Sst Chodl,#FFEA00,MGE,#CE4D36,Sst,#C06829,I_38,#FFFF00,Sst Chodl,#FFEA00,Long-range projecting Sst,0,Inh_MGE_SST_CDH7,Inh_CGE_VIP_SMOC1,,Sst Chodl,Inh SST ABI3BP,#FFEA00,4,Inh SST ABI3BP,#FFEA00,,88,#665C47
30,30,Inh SST MPP5,#c68300,48,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_13,#D2A328,Sst Chodl,#FFEA00,,0,Inh_MGE_SST_CDH7,Inh_MGE_PVALB_KIRREL3,,,Inh SST ABI3BP,#FFEA00,4,Inh SST ABI3BP,#FFEA00,,66,#7AE8AC
38,38,Inh SST AIM1,#f97e13,255,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_6,#FFB307,Sst_1,#FFC369,,12,Inh_MGE_SST_ALCAM,Inh_CGE_VIP_PTPRM,,,Inh SST AKAP2,#f97e13,4,Inh SST ABI3BP,#FFEA00,,68,#7CE6AA
39,39,Inh SST VAPA,#e18e25,153,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_7,#FF9F2C,Sst_2,#FFAE36,,12,Inh_MGE_SST_ALCAM,Inh_CGE_VIP_PTPRM,,,Inh SST AKAP2,#f97e13,4,Inh SST ABI3BP,#FFEA00,,92,#98786D
31,31,Inh SST KIRREL3,#e67500,185,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_17,#784F14,Sst_3,#FFA41C,,0,Inh_MGE_SST_CDH7,Inh_MGE_PVALB_KIRREL3,,,Inh SST ABI3BP,#FFEA00,4,Inh SST ABI3BP,#FFEA00,,78,#7AE7A9
32,32,Inh SST LOC103788660,#ff933e,323,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_13,#D2A328,Sst_3,#FFA41C,,0,Inh_MGE_SST_CDH7,Inh_MGE_PVALB_KIRREL3,,,Inh SST ABI3BP,#FFEA00,4,Inh SST ABI3BP,#FFEA00,,55,#104F00
33,33,Inh SST CBLN4,#ffb82f,297,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_32,#eaa931,Sst_3,#FFA41C,,0,Inh_MGE_SST_CDH7,Inh_MGE_PVALB_KIRREL3,,,Inh SST ABI3BP,#FFEA00,4,Inh SST ABI3BP,#FFEA00,,56,#01A709
