tree_order,cluster_id,cluster_label,cluster_color,cluster_size,class,class_color,subclass,subclass_color,level2,level2_color,level3,level3_color,integrated,integrated_color,integrated_FINAL,integrated_FINAL_color,integrated_alias,DNAm_cluster_id,DNAm_cluster_name,old_DNAm_cluster_id,old_remap?,old_new cluster?,DNAm_cluster_label,DNAm_cluster_color,ATAC_cluster_id,ATAC_cluster_label,ATAC_cluster_color,Notes,old_order,old_cluster_color
82,82,Astro FGFR3 GFAP,#5A503F,332,Non-neuronal,#6D7A67,Astro,#665C47,Astrocyte,#696E50,Astrocyte,#696E50,N_7,#5A503F,Astro_1,#867E6E,ILA or fibrous astro,34,NonN_Mix2,NonN_ODC,,,Glia RORB SLC1A2,#9a8d64,22,Astro RORB SLC1A2,#9a8d64,,96,#997A6D
79,79,Astro FGFR3 EPHB1,#9a8d64,1045,Non-neuronal,#6D7A67,Astro,#665C47,Astrocyte,#696E50,Astrocyte,#696E50,N_2,#8D7C5D,Astro_2,#675D48,Protoplasmic astro,34,NonN_Mix2,NonN_ODC,,,Glia RORB SLC1A2,#9a8d64,22,Astro RORB SLC1A2,#9a8d64,,91,#486464
80,80,Astro FGFR3 NWD1,#846c3d,3471,Non-neuronal,#6D7A67,Astro,#665C47,Astrocyte,#696E50,Astrocyte,#696E50,N_2,#8D7C5D,Astro_2,#675D48,Protoplasmic astro,34,NonN_Mix2,NonN_ODC,,,Glia RORB SLC1A2,#9a8d64,22,Astro RORB SLC1A2,#9a8d64,,87,#6B998D
81,81,Astro FGFR3 RCN2,#565035,2187,Non-neuronal,#6D7A67,Astro,#665C47,Astrocyte,#696E50,Astrocyte,#696E50,N_2,#8D7C5D,Astro_2,#675D48,Protoplasmic astro,34,NonN_Mix2,NonN_ODC,,,Glia RORB SLC1A2,#9a8d64,22,Astro RORB SLC1A2,#9a8d64,,90,#00A60A
52,52,Inh PVALB FAM19A4,#F4358B,772,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_29,#FF197F,Chandelier,#F4358B,Chandelier,15,Inh_CGEMGE_UNC5B,Inh_CGE_VIP_CELF4,Inh_CGEMGE_UNC5B,Chandelier,Inh PVALB FAM19A4,#F4358B,6,Inh PVALB FAM19A4,#F4358B,,94,#00A80A
85,85,Endo NOSTRIN IL1R1,#b88064,228,Non-neuronal,#6D7A67,Endo,#8D6C62,Other NN,#99796B,Other NN,#99796B,N_6,#8D6A62,Endo,#8D6C62,,34,NonN_Mix2,,NonN_ODC,,Glia RORB SLC1A2,#9a8d64,24,Glia SLC1A3 FLT1,#b88064,,25,#BD2912
86,86,Endo NOSTRIN CXCL12,#947160,1569,Non-neuronal,#6D7A67,Endo,#8D6C62,Other NN,#99796B,Other NN,#99796B,N_6,#8D6A62,Endo,#8D6C62,,34,NonN_Mix2,,NonN_ODC,,Glia RORB SLC1A2,#9a8d64,24,Glia SLC1A3 FLT1,#b88064,,32,#7F470F
87,87,Glia SLC1A3 FBLN5,#a96b62,54,Non-neuronal,#6D7A67,Endo,#8D6C62,Other NN,#99796B,Other NN,#99796B,N_6,#8D6A62,Endo,#8D6C62,,34,NonN_Mix2,,NonN_ODC,,Glia RORB SLC1A2,#9a8d64,24,Glia SLC1A3 FLT1,#b88064,,38,#BF480D
53,53,Exc THEMIS ANO3,#93d92b,2782,Glutamatergic,#3EA185,L2/3 IT,#C4EC04,IT projecting,#3ECB88,IT projecting,#3ECB88,E_12,#00FF34,L2/3 IT,#C4EC04,,17,Exc_SupIT_CUX2_PLXNA4,Exc_SupIT_RCSD1_FAM155A,,,Exc THEMIS ACTN2,#93d92b,7,Exc RORB NDST3,#93d92b,,17,#7F490F
54,54,Exc RORB LOC108588466,#7cae24,6254,Glutamatergic,#3EA185,L2/3 IT,#C4EC04,IT projecting,#3ECB88,IT projecting,#3ECB88,E_3,#07D945,L2/3 IT,#C4EC04,,16,Exc_SupIT_MEIS2,,Exc_SupIT_RCSD1_FAM155A,,Exc RORB LOC108588466,#7cae24,8,Exc RORB LOC108588466,#7cae24,,41,#7F490F
